"gene_symbol","compartment","contrast","log_fc","ave_expr","t_stat","p_value","fdr"
"CRLF2","cortex","early_vs_control",2.3274264215335,1.66054416292056,5.83678521982275,1.14273591844068e-05,0.0951421275116396
"LAIR1","cortex","early_vs_control",3.24794271202596,1.86394402247864,5.71852709633089,1.48298184717516e-05,0.0951421275116396
"LOC101089223","cortex","early_vs_control",3.44194136957817,0.387423925920352,5.60944468025999,1.88412688979417e-05,0.0951421275116396
"LOC101089971","cortex","early_vs_control",2.35432062951671,3.08024402184746,5.43385112967669,2.78172067397928e-05,0.105283273587233
"LOC123379843","cortex","early_vs_control",1.66175399008609,1.97592656867956,5.24323398407075,4.19893153709429e-05,0.105283273587233
"CD80","cortex","early_vs_control",2.20094100743961,1.4586943501235,5.14891807075466,5.25987653086399e-05,0.105283273587233
"SLC7A5","cortex","early_vs_control",2.17469244499474,2.42815810719131,5.08626694156605,6.06533136831208e-05,0.105283273587233
"PODNL1","cortex","early_vs_control",3.04841926556327,-0.73942557781675,5.06841822093532,6.1886708744502e-05,0.105283273587233
"PDZD2","cortex","early_vs_control",-1.29574496398008,4.91108378421397,-4.95949069355779,8.0825345667003e-05,0.105283273587233
"ANKMY2","cortex","early_vs_control",-0.643288547420862,5.17256790149076,-4.91632664941029,8.74869441206696e-05,0.105283273587233
"DIO3","cortex","early_vs_control",3.99299466896121,1.87495129231804,4.92038441880953,8.83342536396002e-05,0.105283273587233
"IL7R","cortex","early_vs_control",2.86219421515338,4.59984589412335,4.8941039644336,9.37749316240591e-05,0.105283273587233
"MEDAG","cortex","early_vs_control",2.44144642916455,1.51006917099182,4.82803089797302,0.000109005931271246,0.105283273587233
"SLC11A1","cortex","early_vs_control",2.5086334458024,1.29631455921699,4.76351498493146,0.000126301199564325,0.105283273587233
"MCEMP1","cortex","early_vs_control",3.73545187530162,1.7717099860745,4.72955683848805,0.000136496713432104,0.105283273587233
"C5AR1","cortex","early_vs_control",2.06471640280054,2.91837288148507,4.69592312539493,0.000147417017081149,0.105283273587233
"DLG2","cortex","early_vs_control",-1.1566157816297,3.66293193058325,-4.68296026265623,0.000151858344686558,0.105283273587233
"CCR1","cortex","early_vs_control",2.15796720484012,2.26777447309245,4.67525818585296,0.000154561116537571,0.105283273587233
"EMILIN2","cortex","early_vs_control",2.29253317870798,2.26655368753595,4.66165593612064,0.000159453810221696,0.105283273587233
"MMP12","cortex","early_vs_control",4.7015656702941,-0.614655494651428,4.65912795575476,0.000160380242153407,0.105283273587233
"CD68","cortex","early_vs_control",3.05445609235345,2.6131060302119,4.65588027205095,0.000161578420918549,0.105283273587233
"A4GALT","cortex","early_vs_control",1.07595421324068,6.01427397755535,4.64602268012104,0.000165270960780907,0.105283273587233
"YPEL2","cortex","early_vs_control",-1.15375329461141,5.94378944532973,-4.6211260481856,0.000174981553386936,0.105283273587233
"VSIG4","cortex","early_vs_control",2.31682112499801,2.18708465892529,4.6155045808139,0.000177252812134938,0.105283273587233
