"gene_symbol","compartment","contrast","log_fc","ave_expr","t_stat","p_value","fdr"
"MEDAG","cortex","late_vs_control",4.08704997318762,1.51006917099182,7.69574492698088,3.62225796967591e-07,0.00284687230696171
"OSMR","cortex","late_vs_control",2.2475557169198,6.93127726673634,7.61986828112995,4.17097990779738e-07,0.00284687230696171
"A4GALT","cortex","late_vs_control",1.78225751957665,6.01427397755535,7.45914324588693,5.63774303312768e-07,0.00284687230696171
"S100A1","cortex","late_vs_control",-2.38109296922956,3.46417430333989,-7.18942078235615,9.42146568957964e-07,0.00295747396639751
"DIO3","cortex","late_vs_control",6.10206565278988,1.87495129231804,7.13358037574676,1.04911410357126e-06,0.00295747396639751
"HGF","cortex","late_vs_control",3.43493435392978,4.28187844260027,7.02180324697021,1.30275661893105e-06,0.00295747396639751
"HIF1A","cortex","late_vs_control",1.17233151724341,6.58969825724465,6.91262467219041,1.56330650572348e-06,0.00295747396639751
"BASP1","cortex","late_vs_control",1.68377307543577,4.70026234298803,6.89229914981984,1.67779148242404e-06,0.00295747396639751
"LOC101093854","cortex","late_vs_control",3.24310675754746,0.00901523158875081,6.81492460042705,1.87349807998853e-06,0.00295747396639751
"RRP12","cortex","late_vs_control",0.937081693989938,4.84883410861071,6.76145966663659,2.08354769114949e-06,0.00295747396639751
"ATP6V1G3","cortex","late_vs_control",-2.02297513616025,3.72457423702425,-6.74496488374643,2.24357301142785e-06,0.00295747396639751
"PTDSS2","cortex","late_vs_control",-0.885435433486881,6.3949744972694,-6.65664926078846,2.56897812229121e-06,0.00295747396639751
"LOC101098920","cortex","late_vs_control",1.25706153400168,3.66080692876313,6.61196726835477,2.81227914237575e-06,0.00295747396639751
"PDZD2","cortex","late_vs_control",-1.80644227324665,4.91108378421397,-6.59891751438696,3.0012155850934e-06,0.00295747396639751
"CRISPLD2","cortex","late_vs_control",3.1417837882792,6.13496871337647,6.499391735579,3.66537691880027e-06,0.00295747396639751
"RBP5","cortex","late_vs_control",-2.67101703371489,4.86346846997499,-6.48289201117712,3.78937770621645e-06,0.00295747396639751
"PDE1B","cortex","late_vs_control",3.40388895168321,2.83926846506686,6.46103574414502,3.96033888087841e-06,0.00295747396639751
"FGF7","cortex","late_vs_control",3.76640716741275,1.49332723634355,6.43365380848404,4.18582443241394e-06,0.00295747396639751
"SEZ6L","cortex","late_vs_control",3.11744692391331,0.780873003762846,6.38507448905312,4.52408595086004e-06,0.00295747396639751
"DSG3","cortex","late_vs_control",3.72999215330174,1.06158080039372,6.35961745272788,4.86431587959231e-06,0.00295747396639751
"LOC123379843","cortex","late_vs_control",2.07144486941468,1.97592656867956,6.33850840109145,4.9560257359045e-06,0.00295747396639751
"SLC38A1","cortex","late_vs_control",2.4179811851958,4.45755793318324,6.34046476995071,5.05767061639528e-06,0.00295747396639751
"CTPS1","cortex","late_vs_control",1.4527866638224,3.5930133177412,6.32163454978391,5.16778352000022e-06,0.00295747396639751
"STAT3","cortex","late_vs_control",1.00273246640633,7.15686516946504,6.26692859858512,5.6698474041773e-06,0.00295747396639751
"GFPT2","cortex","late_vs_control",2.59458619082774,4.40178789673893,6.28344037240745,5.68170002815e-06,0.00295747396639751
"GCGR","cortex","late_vs_control",-2.42717318822787,3.73526602370627,-6.2783115866291,5.74158648325797e-06,0.00295747396639751
"RUNX1","cortex","late_vs_control",2.71131579854775,3.39804991506801,6.26847189704123,5.8583096580528e-06,0.00295747396639751
"LRP8","cortex","late_vs_control",2.02933159450151,4.24144929702086,6.26079461003098,5.95107957497269e-06,0.00295747396639751
"PSTPIP2","cortex","late_vs_control",2.40249274183138,1.33855940482098,6.24518153423397,5.97497825027601e-06,0.00295747396639751
"LAIR1","cortex","late_vs_control",3.73782267064415,1.86394402247864,6.25558579861001,6.01488282362396e-06,0.00295747396639751
"EVA1C","cortex","late_vs_control",2.74446782637749,2.98304915445482,6.25258204907872,6.05199636664616e-06,0.00295747396639751
"HRG","cortex","late_vs_control",-2.62434463098138,1.87186859146293,-6.22684296695415,6.37986785144144e-06,0.00302026931504645
"ADAMTSL2","cortex","late_vs_control",2.55470701496036,4.53591509160616,6.16078675085655,7.3078143207111e-06,0.00327118314837507
"SPAAR","cortex","late_vs_control",2.52701398689831,3.39785625863388,6.15853772855208,7.34175371607053e-06,0.00327118314837507
"PLD5","cortex","late_vs_control",-2.0130293917915,1.86816490012996,-6.13175198096341,7.55895764685159e-06,0.00327173283977585
"F3","cortex","late_vs_control",1.31043075929087,5.0912493286196,6.11656275130005,8.00588245621242e-06,0.00330146632416522
"THRA","cortex","late_vs_control",-0.727849219280263,6.04125294972312,-6.09647105539214,8.06645875144037e-06,0.00330146632416522
