"gene_symbol","compartment","contrast","log_fc","ave_expr","t_stat","p_value","fdr"
"HIF1A","cortex","late_vs_early",1.04685722642795,6.58969825724465,6.59729322929321,2.92694855788211e-06,0.044340343703356
"FUZ","cortex","late_vs_early",-0.516281815425387,5.29607858100261,-5.51032297526962,2.78809675218862e-05,0.154801383262928
"GCGR","cortex","late_vs_early",-1.98185328573852,3.73526602370627,-5.4789759803492,3.06557627426751e-05,0.154801383262928
"HRG","cortex","late_vs_early",-1.99371283821268,1.87186859146293,-5.05586476206847,7.66944819458535e-05,0.22090932502195
"PPP1R1A","cortex","late_vs_early",-2.88277315561953,3.96181044306277,-4.94367052929664,9.81046636155053e-05,0.22090932502195
"KNG1","cortex","late_vs_early",-1.8406174379915,6.69814638244423,-4.92651993624444,0.000101877758618681,0.22090932502195
"ADGRG3","cortex","late_vs_early",2.06723410463007,1.17798920874466,4.82369430977051,0.000127116497043488,0.22090932502195
"ADAMTSL2","cortex","late_vs_early",1.84542229185436,4.53591509160616,4.75638098533774,0.000148344166390346,0.22090932502195
"SPTLC2","cortex","late_vs_early",0.615241010250706,4.9994491833614,4.69654578284178,0.000166120676466805,0.22090932502195
"RPL3L","cortex","late_vs_early",-1.34413306411441,0.732883982604729,-4.64659593171351,0.00018570918956123,0.22090932502195
"HGF","cortex","late_vs_early",2.12437443979185,4.28187844260027,4.64137948239098,0.000191490993801668,0.22090932502195
"SETBP1","cortex","late_vs_early",0.582001129429614,5.18366574021445,4.57628160420606,0.000217323957230218,0.22090932502195
"ALDH16A1","cortex","late_vs_early",-0.655406897632298,5.98264674886426,-4.57129444577615,0.000220239521450462,0.22090932502195
"ADAMTS9","cortex","late_vs_early",0.905261470594987,5.35219999077019,4.56357715120047,0.000227717355477783,0.22090932502195
"CDYL2","cortex","late_vs_early",0.929687959825061,3.56738830971237,4.54752893892213,0.000233347635476961,0.22090932502195
"LOC102899103","cortex","late_vs_early",-1.71388750793351,1.36678038893903,-4.53465307707693,0.000240524434375116,0.22090932502195
"PTN","cortex","late_vs_early",1.8271331990822,6.2317801939841,4.5008897979009,0.000261909513328979,0.22090932502195
"FAM3D","cortex","late_vs_early",1.94133867848365,2.22657043441939,4.49990909922581,0.000262483850445251,0.22090932502195
"DCDC2","cortex","late_vs_early",1.08718804079077,5.5556662038012,4.44831990278983,0.000294564824662874,0.222286661954462
"FKBP8","cortex","late_vs_early",-0.454029688684805,7.74421275651783,-4.3894041746518,0.000330527613173979,0.222286661954462
"CAV2","cortex","late_vs_early",0.575564471224888,4.00669482294131,4.38383697518498,0.000334692001182759,0.222286661954462
"LOC101098920","cortex","late_vs_early",0.775697924560393,3.66080692876313,4.36066358562445,0.000352712833806945,0.222286661954462
"S100A1","cortex","late_vs_early",-1.35049831350041,3.46417430333989,-4.35810201692905,0.000360503732691177,0.222286661954462
"PLD5","cortex","late_vs_early",-1.33252227300341,1.86816490012996,-4.33805183476256,0.000372466695859019,0.222286661954462
"HHAT","cortex","late_vs_early",0.844133240260571,2.77160152470148,4.30815380654951,0.000396852364914921,0.222286661954462
"LOC101097553","cortex","late_vs_early",-1.09289107680481,6.64966943745283,-4.30990497918941,0.000401651148317571,0.222286661954462
"TMEM151B","cortex","late_vs_early",-1.66100094509095,0.851063919885436,-4.30154743852406,0.000402835305041904,0.222286661954462
"BASP1","cortex","late_vs_early",0.98026737631606,4.70026234298803,4.28855420655552,0.000421363631600653,0.222286661954462
"MUC4","cortex","late_vs_early",2.99494402393961,-0.354432600665403,4.23377925463487,0.000473442468818603,0.222286661954462
"LOC102901279","cortex","late_vs_early",-0.471692001697734,3.60506533231233,-4.22326551933802,0.000480545253476066,0.222286661954462
"VEGFB","cortex","late_vs_early",-0.681507183112823,5.4895406317545,-4.21894276711494,0.000489224508553693,0.222286661954462
"SPAAR","cortex","late_vs_early",1.62088870382236,3.39785625863388,4.22190981700348,0.000489394347482483,0.222286661954462
"GABRD","cortex","late_vs_early",-2.30824538351093,2.0412957598402,-4.19235146691674,0.000523011802568877,0.222286661954462
"MYBPC3","cortex","late_vs_early",-1.36335045873121,1.26814715855486,-4.18473747726259,0.000524190902439118,0.222286661954462
"NDRG4","cortex","late_vs_early",0.980641566980007,4.23766924081209,4.17122191348104,0.000548458956385007,0.222286661954462
"PTPRJ","cortex","late_vs_early",0.776187652850399,6.94474241730205,4.16505875057101,0.000554007947574927,0.222286661954462
"LOC102901253","cortex","late_vs_early",-0.762610407342591,1.14608198154804,-4.12885216830293,0.00059468528413871,0.222286661954462
"TEF","cortex","late_vs_early",-0.707892618517506,6.36064383308265,-4.13311366974466,0.000594886320125248,0.222286661954462
"KIF27","cortex","late_vs_early",0.970342076648673,2.366428980755,4.10471734648048,0.000628004595610488,0.222286661954462
"BCAT2","cortex","late_vs_early",-0.847385079632768,6.1818274681088,-4.1088547915438,0.000631069616427133,0.222286661954462
"PECAM1","cortex","late_vs_early",1.28090939967196,8.88903831332978,4.10164293435467,0.000641395805450487,0.222286661954462
"PLA2G12A","cortex","late_vs_early",0.501064782101212,4.94864800511031,4.07849444018076,0.000666335416490295,0.222286661954462
"CCS","cortex","late_vs_early",-0.502194692651285,5.43409590146698,-4.07164095126671,0.000676734822733266,0.222286661954462
