"gene_symbol","compartment","contrast","log_fc","ave_expr","t_stat","p_value","fdr"
"SYT7","medulla","early_vs_control",0.991715973231719,4.95076748439707,7.01947425440478,2.99703090532292e-06,0.0134950986177877
"DPP10","medulla","early_vs_control",-2.60147294752674,1.30608564887708,-6.61307617336906,6.25890736247928e-06,0.0134950986177877
"TENM4","medulla","early_vs_control",-3.43794735173933,3.25804365480403,-6.50687399471373,7.66445972933191e-06,0.0134950986177877
"CMKLR1","medulla","early_vs_control",1.01706030951713,5.7299075741108,6.38259244607745,9.34922868551856e-06,0.0134950986177877
"ANLN","medulla","early_vs_control",-2.2063487645913,2.69430422068423,-6.38958850706288,9.48060335312078e-06,0.0134950986177877
"TPM4","medulla","early_vs_control",1.48274867486044,8.62865496533996,6.32589545507213,1.06496044423136e-05,0.0134950986177877
"LOC101081204","medulla","early_vs_control",-2.45430835984145,3.61321915426323,-6.29122576528401,1.13480718095123e-05,0.0134950986177877
"NCOA4","medulla","early_vs_control",-1.33083962949151,7.54666530901562,-6.25697980153237,1.20849189200461e-05,0.0134950986177877
"EPB41L3","medulla","early_vs_control",-1.77292102858002,5.27711444664316,-6.23328785019594,1.26236858404557e-05,0.0134950986177877
"NOSTRIN","medulla","early_vs_control",1.2514666017037,5.21328985785605,6.19020434368758,1.36684186978364e-05,0.0134950986177877
"MYADM","medulla","early_vs_control",1.20968699078682,7.21761398172496,6.18073042099861,1.39099817716461e-05,0.0134950986177877
"CBLN2","medulla","early_vs_control",-4.58574816439526,0.446267430757376,-6.16704592522748,1.42667703193434e-05,0.0134950986177877
"JPT1","medulla","early_vs_control",1.32280123969029,3.774056743161,6.15248201095882,1.4459782671656e-05,0.0134950986177877
"MPV17L","medulla","early_vs_control",-4.45796442872026,0.423637547313214,-6.13020461168232,1.52754012665241e-05,0.0134950986177877
"AGPAT5","medulla","early_vs_control",-0.967014333976604,6.59149416637076,-6.10546291128416,1.56330564845913e-05,0.0134950986177877
"CAPG","medulla","early_vs_control",1.60298065714071,6.70322645772599,6.01688559853796,1.88689647921574e-05,0.0134950986177877
"LMBRD1","medulla","early_vs_control",-0.799333935375908,5.95985704274757,-5.9619164422084,2.04277139253391e-05,0.0134950986177877
"TRANK1","medulla","early_vs_control",1.5019632609931,6.27198962730355,5.96612750942213,2.07535884271374e-05,0.0134950986177877
"SLC35F5","medulla","early_vs_control",-0.845485670888274,5.98408839303961,-5.9430666423909,2.11679118544643e-05,0.0134950986177877
"PRIM1","medulla","early_vs_control",-1.44311495069003,4.73239208969926,-5.94750144748279,2.14933013971199e-05,0.0134950986177877
"MTMR11","medulla","early_vs_control",1.12866816408445,4.46048814188592,5.93067864629866,2.18738771549348e-05,0.0134950986177877
"CISD1","medulla","early_vs_control",-1.12064556847664,4.46240073865451,-5.90680598575132,2.28833495868404e-05,0.0134950986177877
"ALDH6A1","medulla","early_vs_control",-1.89907237775426,7.26437446711275,-5.90845167669479,2.31343367913754e-05,0.0134950986177877
"DDAH1","medulla","early_vs_control",-2.76387669978002,5.78727394275647,-5.85484564362209,2.56016307209384e-05,0.0134950986177877
"KANK3","medulla","early_vs_control",1.26612901384423,7.08650667845924,5.8532735920828,2.56779777553336e-05,0.0134950986177877
"GPR182","medulla","early_vs_control",1.16238208988599,4.98568765962545,5.8395898654245,2.62472765595639e-05,0.0134950986177877
"GATM","medulla","early_vs_control",-5.06032897678085,3.48125526204395,-5.79031554305421,2.89380475139386e-05,0.0134950986177877
"ACVRL1","medulla","early_vs_control",0.902210126134914,6.90272187215636,5.75765999604349,3.01183270079499e-05,0.0134950986177877
"CBR4","medulla","early_vs_control",-1.58998118679999,3.30711212950342,-5.76035137415276,3.06376406487902e-05,0.0134950986177877
"PLAAT3","medulla","early_vs_control",1.47571557441634,3.25080772128347,5.75299706578079,3.09033481852961e-05,0.0134950986177877
"DNASE1L1","medulla","early_vs_control",1.44140694640557,4.13933583448741,5.7543273164888,3.09916460191393e-05,0.0134950986177877
"ABAT","medulla","early_vs_control",-1.75216547225925,8.52007113519127,-5.75114076084451,3.11806168968288e-05,0.0134950986177877
"SNAI2","medulla","early_vs_control",1.17036870659601,5.21801691208391,5.73241258867767,3.23156464422368e-05,0.0134950986177877
"BDH2","medulla","early_vs_control",-1.53675066266944,4.4806008259751,-5.72251203056866,3.29328949565738e-05,0.0134950986177877
"GPT2","medulla","early_vs_control",-3.17834294476029,5.03008393130057,-5.70265272931122,3.42081315966162e-05,0.0134950986177877
"RTKN2","medulla","early_vs_control",-2.33398143092376,2.030907567508,-5.70132923792882,3.42949157626537e-05,0.0134950986177877
"ACADM","medulla","early_vs_control",-2.66114262339326,8.11462909282124,-5.69118883861371,3.49674597022699e-05,0.0134950986177877
"ADORA2A","medulla","early_vs_control",1.65383194086761,5.23369554831427,5.66952502291371,3.64504496404597e-05,0.0134950986177877
