"gene_symbol","compartment","contrast","log_fc","ave_expr","t_stat","p_value","fdr"
"THRB","medulla","late_vs_control",-2.1957297822232,5.54660182545172,-10.2110393379165,1.34293106172364e-08,0.000152827813800639
"BSPRY","medulla","late_vs_control",1.49737125305344,5.1966620149784,9.9037901812454,2.00206738456329e-08,0.000152827813800639
"SFN","medulla","late_vs_control",4.78991974342065,1.44575128811921,9.0090068363477,8.02838960405697e-08,0.000408564746950459
"PLAAT3","medulla","late_vs_control",2.40166600696512,3.25080772128347,8.73597957268831,1.22608931971474e-07,0.000467967641102122
"KRT19","medulla","late_vs_control",3.13454462109563,5.34006712957209,8.02185594381525,3.95367033379209e-07,0.00120721369972008
"CDKL1","medulla","late_vs_control",-2.40940841746711,7.07404332290774,-7.90842034872289,4.78581182954803e-07,0.0012177498200285
"KCNA4","medulla","late_vs_control",-3.18167021110409,1.21322959286986,-7.43823726304887,1.06330675771204e-06,0.00231907203856997
"FSTL3","medulla","late_vs_control",1.93511064842325,5.95051147268994,7.18161486722598,1.69380829351019e-06,0.00273548354724016
"LGALS3","medulla","late_vs_control",1.74784358711844,7.27075890577708,7.14462948150606,1.80973891532194e-06,0.00273548354724016
"CSRNP3","medulla","late_vs_control",-2.96032108642119,4.01706626329485,-7.13718843380665,1.83404567633643e-06,0.00273548354724016
"ARHGAP24","medulla","late_vs_control",-1.40560828022065,5.86168057878165,-7.02322769101727,2.24590285108638e-06,0.00273548354724016
"MARCKSL1","medulla","late_vs_control",1.76624359511718,4.88088575950415,6.95028008333085,2.57052674424327e-06,0.00273548354724016
"HMGA1","medulla","late_vs_control",0.911767353499624,5.7102993015527,6.92675318131673,2.61696123066217e-06,0.00273548354724016
"ANOS1","medulla","late_vs_control",-2.56956678520587,3.18005260987762,-6.86017433540126,3.02997177210027e-06,0.00273548354724016
"CLIC1","medulla","late_vs_control",1.43347830191119,6.74686643578576,6.85655509915696,3.0501217389591e-06,0.00273548354724016
"TENM1","medulla","late_vs_control",-4.14141620455736,0.791068927892417,-6.83376511942008,3.18024961064866e-06,0.00273548354724016
"PPM1K","medulla","late_vs_control",-1.71306361883579,6.7330083944602,-6.83043265863906,3.19975624274397e-06,0.00273548354724016
"ANXA2","medulla","late_vs_control",1.37184705842052,8.68632701899732,6.79411957486275,3.38748864990451e-06,0.00273548354724016
"CLDN3","medulla","late_vs_control",2.7612991575338,4.15116066261482,6.79670249303489,3.40434842454727e-06,0.00273548354724016
"PLP2","medulla","late_vs_control",1.09078793650938,5.85786922696778,6.71874038821115,3.83918780425947e-06,0.00288910480020783
"MYORG","medulla","late_vs_control",1.15072942106745,4.04562818027201,6.70016298271012,3.97400935379344e-06,0.00288910480020783
"SLIT3","medulla","late_vs_control",-1.46099391439696,7.29447537288988,-6.6116042336395,4.79673737625533e-06,0.00296302800245358
"FRZB","medulla","late_vs_control",-2.7516030978433,2.1353086036267,-6.59964173592371,4.90500810498064e-06,0.00296302800245358
"POLD1","medulla","late_vs_control",1.00347582969643,3.98773917266472,6.56947565236171,5.07288395866439e-06,0.00296302800245358
"PDZD2","medulla","late_vs_control",-1.99985449572385,6.01662162755966,-6.57559023419656,5.1304506578005e-06,0.00296302800245358
"KRT7","medulla","late_vs_control",5.16742849123737,3.49878892241664,6.56102218536163,5.27221313393401e-06,0.00296302800245358
"LOC101081428","medulla","late_vs_control",4.32704689469312,5.66812047102208,6.56022341615051,5.28010273001095e-06,0.00296302800245358
"KRT17","medulla","late_vs_control",6.47933836495478,-0.865694347983506,6.54421756627379,5.44080786857328e-06,0.00296302800245358
"GALNT6","medulla","late_vs_control",3.50903464331498,2.68088662186273,6.47830428849247,6.15807517372673e-06,0.00296302800245358
"LRRN4CL","medulla","late_vs_control",2.61277510452841,6.1327585427912,6.45882786912043,6.38830953018945e-06,0.00296302800245358
"LOC101098498","medulla","late_vs_control",4.84938135848545,5.01038840124444,6.45419407571587,6.44439132172364e-06,0.00296302800245358
"PRR29","medulla","late_vs_control",2.60774257553532,0.849524763953412,6.43374977208188,6.55300458358817e-06,0.00296302800245358
"PLEKHA6","medulla","late_vs_control",-1.84576385794656,6.94833718782278,-6.43557915853644,6.67488606451662e-06,0.00296302800245358
"PRR18","medulla","late_vs_control",2.14365021004008,2.74724404718227,6.42621201290159,6.79409364437347e-06,0.00296302800245358
"FNIP2","medulla","late_vs_control",-2.037282289664,6.2295127491287,-6.40946461953385,7.01276288540285e-06,0.00296302800245358
"IL27RA","medulla","late_vs_control",1.09117352992516,5.47098528889151,6.39625795247614,7.03632146605743e-06,0.00296302800245358
"AURKB","medulla","late_vs_control",1.90543319982585,2.06997506975309,6.38555473998347,7.18098094522713e-06,0.00296302800245358
"VIM","medulla","late_vs_control",1.70580053147744,9.33621322265722,6.36269416166262,7.66298444129027e-06,0.00307870482803102
"CENPW","medulla","late_vs_control",2.42906558254755,0.318095625673545,6.28565861389363,8.6895705911422e-06,0.00340163267217866
"CDON","medulla","late_vs_control",-1.46873281550803,3.80304236814083,-6.2479091107472,9.4604308401568e-06,0.0034222654303812
"AASS","medulla","late_vs_control",-2.23488853131285,4.59881381774355,-6.2393909332942,9.69481432308352e-06,0.0034222654303812
"MYD88","medulla","late_vs_control",1.19315712668659,5.22121575950271,6.21950222794746,9.97376876614733e-06,0.0034222654303812
"CCDC187","medulla","late_vs_control",1.6918830541649,3.07623793608923,6.21862104026646,1.00053638030521e-05,0.0034222654303812
"THRA","medulla","late_vs_control",-0.87261034809094,6.37097256968705,-6.18137241006884,1.06188829716957e-05,0.0034222654303812
"MDFI","medulla","late_vs_control",3.81077801623998,0.283435616620233,6.18674193884792,1.07071325787969e-05,0.0034222654303812
"CD36","medulla","late_vs_control",-2.01378071369209,5.81706128877394,-6.18489999294074,1.07637512649635e-05,0.0034222654303812
"TRIP13","medulla","late_vs_control",1.55167173547876,1.9095738807927,6.16714820320683,1.09145464035325e-05,0.0034222654303812
"PHYHIPL","medulla","late_vs_control",-2.14761987448025,5.05527550441394,-6.17547374583475,1.09607214416028e-05,0.0034222654303812
"LIG1","medulla","late_vs_control",0.913193760348327,4.91750810881343,6.16387005573192,1.09838872135114e-05,0.0034222654303812
"DUSP5","medulla","late_vs_control",2.92792142061954,3.70557773333782,6.13510206626286,1.18475336757242e-05,0.00356200124058164
"CLU","medulla","late_vs_control",4.0710220661288,11.1799893484292,6.13285605484252,1.18990019826858e-05,0.00356200124058164
"ACTG1","medulla","late_vs_control",1.02197900580042,10.8273652551316,6.09362250489245,1.25847553783102e-05,0.00369249718326716
"GSDME","medulla","late_vs_control",-2.29637072554405,1.24576157039954,-6.08335336773652,1.28382777498197e-05,0.00369249718326716
"SEMA4B","medulla","late_vs_control",1.49596621290537,6.33987370192562,6.0846823214041,1.30605127331124e-05,0.00369249718326716
"FAM110B","medulla","late_vs_control",1.80124416136015,5.01686415994129,6.01951281901134,1.48216234761095e-05,0.00407025849267951
"JAM2","medulla","late_vs_control",-1.4570653020829,6.43893878948371,-6.01577238677171,1.49298798447666e-05,0.00407025849267951
"SULT2B1","medulla","late_vs_control",3.57614612510725,-0.132406453595257,5.96728081475577,1.61074527732911e-05,0.00431425406122518
"LOC102900172","medulla","late_vs_control",-0.922324328105168,5.9449456818963,-5.94692174104779,1.67558662526066e-05,0.00437933727360672
"LRFN4","medulla","late_vs_control",1.69971329031786,2.06889973987116,5.94182709630128,1.69241435215037e-05,0.00437933727360672
"DNASE1L3","medulla","late_vs_control",2.50536752748098,3.67407222197711,5.93702362993058,1.74094163051383e-05,0.0043865208390301
"HLF","medulla","late_vs_control",-1.69844636041823,5.16019810704188,-5.93359649462208,1.75265455676188e-05,0.0043865208390301
"ANXA3","medulla","late_vs_control",1.11229679247616,6.06060801706563,5.90410681871057,1.84330365452382e-05,0.00448609912729265
"GCNT2","medulla","late_vs_control",-0.686522284122288,5.2241511328166,-5.89618169587383,1.85121009379339e-05,0.00448609912729265
"NCOA4","medulla","late_vs_control",-1.39497834750059,7.54666530901562,-5.88463433864037,1.92918694244967e-05,0.0045130905456606
"BDH2","medulla","late_vs_control",-1.73452017060794,4.4806008259751,-5.87865223475584,1.95198231709745e-05,0.0045130905456606
"ATP6V1E2","medulla","late_vs_control",-1.77896594375521,1.34875801646321,-5.86854844574449,1.95475810580739e-05,0.0045130905456606
"PPARGC1A","medulla","late_vs_control",-2.18576250262333,5.90265666938281,-5.85868662507259,2.0301001464187e-05,0.0045130905456606
"ANGPTL4","medulla","late_vs_control",2.65425165480614,4.31665042307596,5.85730038094514,2.03564260936168e-05,0.0045130905456606
"STXBP4","medulla","late_vs_control",-1.85222984469115,3.14889296794646,-5.8562843741077,2.03971472883069e-05,0.0045130905456606
"GPR137B","medulla","late_vs_control",-1.21603293915888,6.88093520490199,-5.78609148631262,2.34246090296535e-05,0.00510890722936742
"NCKAP5","medulla","late_vs_control",-1.65437270185201,2.65285266124168,-5.75846591915605,2.44525151831865e-05,0.0052579795676297
"MMP11","medulla","late_vs_control",2.61572436229358,5.13424883535765,5.74232604891273,2.554395027779e-05,0.00532663103774934
"AGPAT5","medulla","late_vs_control",-1.1180713320433,6.59149416637076,-5.74011354395678,2.558045543859e-05,0.00532663103774934
"LOC102902050","medulla","late_vs_control",2.40997019026406,4.28101846429056,5.728203281822,2.62693550464391e-05,0.00532663103774934
