"gene_symbol","compartment","contrast","log_fc","ave_expr","t_stat","p_value","fdr"
"SLIT3","medulla","late_vs_early",-1.57693499221136,7.29447537288988,-7.01232350332411,3.13207842962737e-06,0.0304201769999486
"BSPRY","medulla","late_vs_early",1.01590791844091,5.1966620149784,6.85698965457367,3.98508901551694e-06,0.0304201769999486
"THRB","medulla","late_vs_early",-1.28457893887207,5.54660182545172,-6.48371214051371,7.94100311285754e-06,0.040411764841332
"CLDN1","medulla","late_vs_early",1.71293220003373,5.98086073151687,5.97755631973123,2.03128378380587e-05,0.0410681805629199
"CSRNP3","medulla","late_vs_early",-2.49658501551485,4.01706626329485,-5.8964662961739,2.36636899288459e-05,0.0410681805629199
"LOC111559498","medulla","late_vs_early",-1.82820669956896,1.63640888878509,-5.86631863336827,2.44811556655155e-05,0.0410681805629199
"BCORL1","medulla","late_vs_early",-0.750867824203361,4.93343711056906,-5.83917876934583,2.57778606881849e-05,0.0410681805629199
"IRS4","medulla","late_vs_early",-2.90051430644192,0.692394580478767,-5.83219713247947,2.64666333045734e-05,0.0410681805629199
"TTC21A","medulla","late_vs_early",1.64473356310377,2.91677595735751,5.77300754977734,2.96557780375167e-05,0.0410681805629199
"CEACAM1","medulla","late_vs_early",2.54529661897452,5.52722790488847,5.72288665768118,3.2909317885233e-05,0.0410681805629199
"LDB2","medulla","late_vs_early",-1.23457570905392,6.29944215045681,-5.66935068662953,3.6462644547018e-05,0.0410681805629199
"CD36","medulla","late_vs_early",-1.66070632861603,5.81706128877394,-5.61391027092483,4.05634273829643e-05,0.0410681805629199
"EDNRB","medulla","late_vs_early",-1.48585321754104,5.78111532200895,-5.61133707547094,4.07649796783517e-05,0.0410681805629199
"POC1A","medulla","late_vs_early",1.0548913804975,2.3282238655499,5.57905208312183,4.24857975881192e-05,0.0410681805629199
"FGD5","medulla","late_vs_early",-0.889970051766461,5.95311018879501,-5.56187584743081,4.3924628992479e-05,0.0410681805629199
"TRPV5","medulla","late_vs_early",-2.76945022669228,3.65899640022731,-5.56294417805978,4.47548387015845e-05,0.0410681805629199
"COLQ","medulla","late_vs_early",-2.60392584311749,6.13648510086182,-5.55179621811468,4.57299449511783e-05,0.0410681805629199
"SDC3","medulla","late_vs_early",-1.01072966645945,5.03342909436264,-5.45159193173479,5.47744797389164e-05,0.0464578878985576
"FBN3","medulla","late_vs_early",4.00812369697671,-0.074335813275779,5.36200523725143,6.6165387060044e-05,0.0518577869125977
"MCM2","medulla","late_vs_early",0.891644582808747,4.16557121926787,5.33876221551526,6.79344821020472e-05,0.0518577869125977
"EIF3M","medulla","late_vs_early",0.769334940409325,6.2503626483228,5.28319892005825,7.58014937985617e-05,0.0522081133119509
"EPHB1","medulla","late_vs_early",-2.07805919291844,3.19484268272421,-5.29202613088259,7.59075720781905e-05,0.0522081133119509
"CLIC3","medulla","late_vs_early",1.96314606171717,2.17388368535972,5.27397947389265,7.86524272073669e-05,0.0522081133119509
