"gene_symbol","direction","module","retained"
"MEDAG","up","9",FALSE
"OSMR","up","9",FALSE
"A4GALT","up","5",FALSE
"DIO3","up","10",FALSE
"HGF","up","9",FALSE
"HIF1A","up","8",FALSE
"BASP1","up","9",FALSE
"LOC101093854","up","3",FALSE
"RRP12","up","9",FALSE
"LOC101098920","up","11",FALSE
"CRISPLD2","up","6",FALSE
"PDE1B","up","10",FALSE
"FGF7","up","7",FALSE
"SEZ6L","up","7",FALSE
"DSG3","up","5",FALSE
"SLC38A1","up","7",FALSE
"CTPS1","up","7",FALSE
"STAT3","up","5",FALSE
"GFPT2","up","12",FALSE
"RUNX1","up","10",FALSE
"LRP8","up","18",FALSE
"PSTPIP2","up","13",FALSE
"LAIR1","up","10",FALSE
"EVA1C","up","6",FALSE
"ADAMTSL2","up","14",FALSE
"SPAAR","up","5",FALSE
"F3","up","12",FALSE
"PODNL1","up","4",FALSE
"FSTL3","up","6",FALSE
"MICAL2","up","9",FALSE
"FCGR3A","up","10",FALSE
"NDRG4","up","5",FALSE
"MAP3K6","up","6",FALSE
"IL15RA","up","10",FALSE
"TNFSF15","up","14",FALSE
"NLRP3","up","9",FALSE
"PTCH2","up","12",FALSE
"PECAM1","up","8",FALSE
"CD163","up","17",FALSE
"ADGRG3","up","5",FALSE
"MYC","up","18",FALSE
"GRIN3A","up","4",FALSE
"TMEM181","up","9",FALSE
"RRM2","up","16",FALSE
"UBXN10","up","5",FALSE
"SPSB1","up","12",FALSE
"HSPB8","up","3",FALSE
"HRCT1","up","5",FALSE
"LOX","up","1",FALSE
"SLC7A5","up","2",FALSE
"ALDH1L2","up","10",FALSE
"CGREF1","up","7",FALSE
"MOV10L1","up","5",FALSE
"CLEC12A","up","10",FALSE
"LRRN4CL","up","3",FALSE
"KLF4","up","9",FALSE
"LAMC2","up","5",FALSE
"UAP1","up","6",FALSE
"PROM1","up","5",FALSE
"IL7R","up","4",FALSE
"SLC46A3","up","9",FALSE
"C5AR1","up","10",FALSE
"PPRC1","up","6",FALSE
"IGFBP4","up","10",FALSE
"SOX9","up","5",FALSE
"CYP2S1","up","6",FALSE
"MUC4","up","5",FALSE
"MFSD2A","up","12",FALSE
"CDYL2","up","9",FALSE
"ETV4","up","5",FALSE
"EHF","up","18",FALSE
"PVR","up","9",FALSE
"CEBPB","up","12",FALSE
"PTPN1","up","9",FALSE
"VSIG4","up","10",FALSE
"IGSF3","up","5",FALSE
"ICOSLG","up","4",FALSE
"RTN2","up","6",FALSE
"LOC101089971","up","2",FALSE
"SMIM3","up","1",FALSE
"TTC39A","up","11",FALSE
"TNFRSF12A","up","5",FALSE
"CD86","up","1",FALSE
"LOC101098498","up","2",FALSE
"SMOC2","up","1",FALSE
"C5AR2","up","10",FALSE
"SVEP1","up","1",FALSE
"TIMP1","up","10",FALSE
"FOSL2","up","12",FALSE
"PKP1","up","7",FALSE
"MGAT2","up","9",FALSE
"DUSP5","up","6",FALSE
"SCARA3","up","1",FALSE
"PI3","up","3",FALSE
"DDIT4","up","9",FALSE
"EMP1","up","1",FALSE
"NRIP3","up","5",FALSE
"CLEC2B","up","10",FALSE
"CCDC71L","up","12",FALSE
"LOC101083433","up","12",FALSE
"CLU","up","5",FALSE
"PLA2G4A","up","1",FALSE
"SLC11A1","up","10",FALSE
"CAPN5","up","1",FALSE
"EIF4A1","up","6",FALSE
"MYO5A","up","10",FALSE
"CH25H","up","12",FALSE
"PREB","up","9",FALSE
"SOCS1","up","12",FALSE
"PLD2","up","1",FALSE
"KRT17","up","12",FALSE
"VMP1","up","14",FALSE
"ATP8B1","up","16",FALSE
"ACTN1","up","1",FALSE
"IL11","up","12",FALSE
"MMP2","up","6",FALSE
"STEAP4","up","6",FALSE
"FGL2","up","12",FALSE
"TGFBI","up","10",FALSE
"DUSP6","up","10",FALSE
"ICAM1","up","12",FALSE
"ANGPTL4","up","5",FALSE
"MARS1","up","9",FALSE
"ACKR2","up","14",FALSE
"LOC101085233","up","3",FALSE
"ETV7","up","5",FALSE
"CLCF1","up","5",FALSE
"CD248","up","3",FALSE
"LOC101089223","up","4",FALSE
"SERPINE1","up","9",FALSE
"SYT12","up","7",FALSE
"ODAPH","up","5",FALSE
"CRISP1","up","5",FALSE
"PRG4","up","1",FALSE
"BMP8A","up","3",FALSE
"MMP19","up","1",FALSE
"PIEZO1","up","3",FALSE
"C1QA","up","10",FALSE
"IGFBP6","up","4",FALSE
"IL1RL1","up","14",FALSE
"CYP4V2","up","11",FALSE
"LOC102901432","up","12",FALSE
"DNASE1L3","up","13",FALSE
"PPP1R14C","up","5",FALSE
"B4GALT1","up","18",FALSE
"ADGRE1","up","17",FALSE
"INHBB","up","5",FALSE
"SPON1","up","10",FALSE
"TGFB2","up","5",FALSE
"LOC123378936","up","9",FALSE
"CHSY1","up","13",FALSE
"C1QB","up","10",FALSE
"EDN1","up","14",FALSE
"CRLF1","up","4",FALSE
"SERPINE2","up","5",FALSE
"IL1R1","up","14",FALSE
"LTBP2","up","4",FALSE
"DUSP14","up","1",FALSE
"SEMA4B","up","5",FALSE
"TPM4","up","1",FALSE
"GPR65","up","4",FALSE
"MAP3K8","up","12",FALSE
"PRPSAP2","up","18",FALSE
