"module","n_genes","mean_jaccard","sd_jaccard","direction","retained"
"1",354,0.39,0.104,"up",FALSE
"2",344,0.559,0.103,"up",FALSE
"3",344,0.323,0.066,"up",FALSE
"4",275,0.316,0.093,"up",FALSE
"5",175,0.317,0.082,"up",FALSE
"6",141,0.191,0.049,"up",FALSE
"7",133,0.332,0.075,"up",FALSE
"8",110,0.45,0.112,"up",FALSE
"9",106,0.192,0.061,"up",FALSE
"10",99,0.163,0.064,"up",FALSE
"11",81,0.291,0.098,"up",FALSE
"12",79,0.18,0.077,"up",FALSE
"13",73,0.159,0.064,"up",FALSE
"14",71,0.197,0.069,"up",FALSE
"15",63,0.224,0.069,"up",FALSE
"16",61,0.388,0.124,"up",FALSE
"17",50,0.407,0.16,"up",FALSE
"18",33,0.134,0.071,"up",FALSE
"1",798,0.591,0.096,"down",FALSE
"2",266,0.331,0.081,"down",FALSE
"3",146,0.284,0.084,"down",FALSE
"4",135,0.448,0.128,"down",FALSE
"5",124,0.146,0.041,"down",FALSE
"6",115,0.233,0.063,"down",FALSE
"7",113,0.223,0.075,"down",FALSE
"8",81,0.22,0.063,"down",FALSE
"9",80,0.372,0.079,"down",FALSE
"10",79,0.298,0.073,"down",FALSE
"11",78,0.235,0.074,"down",FALSE
"12",61,0.161,0.057,"down",FALSE
"13",53,0.163,0.068,"down",FALSE
"14",49,0.2,0.084,"down",FALSE
