"direction","module","n_genes","mean_jaccard","sd_jaccard","retained","ave_expr"
"down","1",798,0.591,0.096,FALSE,5.72719899908129
"down","10",79,0.298,0.073,FALSE,5.58346303282258
"down","11",78,0.235,0.074,FALSE,5.00468253194881
"down","12",61,0.161,0.057,FALSE,4.56640782568011
"down","13",53,0.163,0.068,FALSE,4.18447326006325
"down","14",49,0.2,0.084,FALSE,4.55010810799319
"down","2",266,0.331,0.081,FALSE,5.50408479956095
"down","3",146,0.284,0.084,FALSE,5.37617252425407
"down","4",135,0.448,0.128,FALSE,4.16037716800525
"down","5",124,0.146,0.041,FALSE,4.83271901512746
"down","6",115,0.233,0.063,FALSE,4.30087173863725
"down","7",113,0.223,0.075,FALSE,4.06972084879065
"down","8",81,0.22,0.063,FALSE,5.02920155610901
"down","9",80,0.372,0.079,FALSE,5.03038798079147
"up","1",354,0.39,0.104,FALSE,4.37146186946145
"up","10",99,0.163,0.064,FALSE,3.96418369788577
"up","11",81,0.291,0.098,FALSE,3.66080692876313
"up","12",79,0.18,0.077,FALSE,3.57047702250744
"up","13",73,0.159,0.064,FALSE,4.0518928964284
"up","14",71,0.197,0.069,FALSE,4.51458610290245
"up","15",63,0.224,0.069,FALSE,4.88397380274217
"up","16",61,0.388,0.124,FALSE,4.3462637782812
"up","17",50,0.407,0.16,FALSE,3.66875065924925
"up","18",33,0.134,0.071,FALSE,3.02881752959469
"up","2",344,0.559,0.103,FALSE,2.80199838504842
"up","3",344,0.323,0.066,FALSE,4.40291196081279
"up","4",275,0.316,0.093,FALSE,3.4332612344632
"up","5",175,0.317,0.082,FALSE,3.3952193236182
"up","6",141,0.191,0.049,FALSE,4.5643092826596
"up","7",133,0.332,0.075,FALSE,1.72039131166109
"up","8",110,0.45,0.112,FALSE,4.89710074484203
"up","9",106,0.192,0.061,FALSE,4.52422781632785
