"module","n_genes","mean_jaccard","sd_jaccard","direction","retained"
"1",153,0.442,0.094,"up",FALSE
"2",100,0.302,0.082,"up",FALSE
"3",98,0.271,0.08,"up",FALSE
"4",88,0.298,0.086,"up",FALSE
"5",87,0.31,0.081,"up",FALSE
"6",81,0.387,0.098,"up",FALSE
"7",66,0.325,0.088,"up",FALSE
"8",64,0.263,0.073,"up",FALSE
"9",62,0.277,0.104,"up",FALSE
"10",55,0.218,0.061,"up",FALSE
"11",37,0.207,0.098,"up",FALSE
"1",149,0.365,0.088,"down",FALSE
"2",137,0.351,0.092,"down",FALSE
"3",119,0.251,0.073,"down",FALSE
"4",109,0.394,0.107,"down",FALSE
"5",95,0.385,0.099,"down",FALSE
"6",81,0.325,0.12,"down",FALSE
"7",74,0.364,0.098,"down",FALSE
"8",62,0.219,0.098,"down",FALSE
"9",58,0.28,0.122,"down",FALSE
"10",35,0.179,0.071,"down",FALSE
