"direction","module","n_genes","mean_jaccard","sd_jaccard","retained","ave_expr"
"down","1",149,0.365,0.088,FALSE,5.12805602798733
"down","10",35,0.179,0.071,FALSE,5.26950215417749
"down","2",137,0.351,0.092,FALSE,5.2096099937011
"down","3",119,0.251,0.073,FALSE,4.47668305878563
"down","4",109,0.394,0.107,FALSE,5.94452500608532
"down","5",95,0.385,0.099,FALSE,5.28206652085378
"down","6",81,0.325,0.12,FALSE,3.93936306110593
"down","7",74,0.364,0.098,FALSE,3.60367004272716
"down","8",62,0.219,0.098,FALSE,4.69516262763663
"down","9",58,0.28,0.122,FALSE,4.41152092488935
"up","1",153,0.442,0.094,FALSE,4.36080329459579
"up","10",55,0.218,0.061,FALSE,5.14746360067209
"up","11",37,0.207,0.098,FALSE,4.74354843303582
"up","2",100,0.302,0.082,FALSE,4.88509434984481
"up","3",98,0.271,0.08,FALSE,5.20474007273424
"up","4",88,0.298,0.086,FALSE,4.67253330880715
"up","5",87,0.31,0.081,FALSE,5.69022136539375
"up","6",81,0.387,0.098,FALSE,3.98767805737796
"up","7",66,0.325,0.088,FALSE,4.96523828546004
"up","8",64,0.263,0.073,FALSE,5.22349270308516
"up","9",62,0.277,0.104,FALSE,4.62663983346252
