"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA1148.1","PPARA::RXRA",0.333467980403548,0.177703729131227,"cortex_late","down","enhancer",FALSE,0.664196023029705,-1.37811628703652,0.019803145149502,"PPARA"
"MA0114.4","HNF4A",0.313530900454158,0.177703729131227,"cortex_late","down","enhancer",FALSE,0.664196023029705,-1.23007976463855,0.0977501598026493,"HNF4A"
"MA0484.2","HNF4G",0.322883411252091,0.177703729131227,"cortex_late","down","enhancer",FALSE,0.664196023029705,-1.63629288463108,0.0176087917676422,"HNF4G"
"MA0861.1","TP73",0.642414766941609,0.132144127044233,"cortex_late","down","enhancer",FALSE,0.737659386331254,0.179201540102994,0.766143713200244,"TP73"
"MA0491.2","JUND",0.398678132231903,0.132144127044233,"cortex_late","down","enhancer",FALSE,0.737659386331254,0.161363286064925,0.46617504459736,"JUND"
"MA0074.1","RXRA::VDR",0.3812871608283,0.121697667645179,"cortex_late","down","enhancer",FALSE,0.75561806508779,-0.356143623481072,0.0459711949172875,"RXRA"
"MA0101.1","REL",0.186151735993749,0.121697667645179,"cortex_late","down","enhancer",FALSE,0.75561806508779,0.585671084063824,0.216511329152222,"REL"
"MA0259.1","ARNT::HIF1A",0.272004437929803,0.121697667645179,"cortex_late","down","enhancer",FALSE,0.75561806508779,1.17233151724341,0.00295747396639751,"HIF1A"
"MA0476.1","FOS",0.279499943506446,0.121697667645179,"cortex_late","down","enhancer",FALSE,0.75561806508779,0.0826020248799741,0.94439835226923,"FOS"
"MA0478.1","FOSL2",0.244647641526147,0.121697667645179,"cortex_late","down","enhancer",FALSE,0.75561806508779,1.02982069670662,0.00558578197927428,"FOSL2"
"MA0507.1","POU2F2",0.276733550816407,0.121697667645179,"cortex_late","down","enhancer",FALSE,0.75561806508779,2.77086498509866,0.0353960228761903,"POU2F2"
"MA0636.1","BHLHE41",0.400708849851418,0.121697667645179,"cortex_late","down","enhancer",FALSE,0.75561806508779,0.133273006495653,0.674656617449794,"BHLHE41"
"MA0664.1","MLXIPL",0.424324570870082,0.121697667645179,"cortex_late","down","enhancer",FALSE,0.75561806508779,0.117551510151253,0.856432606821586,"MLXIPL"
"MA0498.2","MEIS1",0.193291670311277,0.121697667645179,"cortex_late","down","enhancer",FALSE,0.75561806508779,0.654845987538121,0.174122993503971,"MEIS1"
