"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA1541.1","NR6A1",0.505856550249918,0.626808002299492,"cortex_late","up","enhancer",FALSE,0.236152201017008,-0.217266888365558,0.223693506960725,"NR6A1"
"MA0163.1","PLAG1",0.26400608008514,0.36141297017453,"cortex_late","up","enhancer",FALSE,0.435097942728899,-0.654661986185757,0.0377532838072238,"PLAG1"
"MA0595.1","SREBF1",0.284709790166002,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,0.353557944511778,0.652599098818975,"SREBF1"
"MA0042.2","FOXI1",0.232015978532708,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,-1.3503212932461,0.0110861569905551,"FOXI1"
"MA0695.1","ZBTB7C",0.276279460495489,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,1.02238151801267,0.0852264536097198,"ZBTB7C"
"MA0722.1","VAX1",0.456853725363858,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,0.363943740941558,0.797343198474492,"VAX1"
"MA0141.3","ESRRB",0.429825578215285,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,-1.28453064368206,0.0377797473826803,"ESRRB"
"MA0783.1","PKNOX2",0.687517178866486,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,0.392943460422712,0.398685676786679,"PKNOX2"
"MA0794.1","PROX1",0.629532230776442,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,-0.516221340251166,0.22966138638491,"PROX1"
"MA0796.1","TGIF1",0.717848688450585,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,0.801855894422812,0.0267584233711836,"TGIF1"
"MA0848.1","FOXO4",0.232015978532708,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,-0.528580748247043,0.00793978426049497,"FOXO4"
"MA1114.1","PBX3",0.267423562045867,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,0.372566142848154,0.323671514043324,"PBX3"
"MA0099.3","FOS::JUN",0.339119337312256,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,0.236695319839362,0.485227546006482,"JUN"
"MA1130.1","FOSL2::JUN",0.375056138603414,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,1.02982069670662,0.00558578197927428,"FOSL2"
"MA1141.1","FOS::JUND",0.415364711188381,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,0.161363286064925,0.46617504459736,"JUND"
"MA1147.1","NR4A2::RXRA",0.43984931544832,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,-0.356143623481072,0.0459711949172875,"RXRA"
"MA0592.3","ESRRA",0.242105257087685,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,-0.608206137724949,0.0994022927880583,"ESRRA"
"MA0025.2","NFIL3",0.43094981138903,0.22622751854143,"cortex_late","up","enhancer",FALSE,0.593980901900796,0.191079949928064,0.449058808909072,"NFIL3"
"MA0477.2","FOSL1",0.356040158511703,0.223494009331161,"cortex_late","up","enhancer",FALSE,0.597731289752048,2.1164680327118,0.0197929391485239,"FOSL1"
"MA0628.1","POU6F1",0.435874823335035,0.181037943359423,"cortex_late","up","enhancer",FALSE,0.659116307177897,0.352992935457504,0.19047816655053,"POU6F1"
"MA0638.1","CREB3",0.478964662135478,0.181037943359423,"cortex_late","up","enhancer",FALSE,0.659116307177897,-0.0361557275701507,0.837404161307432,"CREB3"
"MA1128.1","FOSL1::JUN",0.309884581364751,0.181037943359423,"cortex_late","up","enhancer",FALSE,0.659116307177897,2.1164680327118,0.0197929391485239,"FOSL1"
"MA1134.1","FOS::JUNB",0.339464037374863,0.181037943359423,"cortex_late","up","enhancer",FALSE,0.659116307177897,0.97627375341033,0.0583353553944371,"JUNB"
"MA1144.1","FOSL2::JUND",0.325595344902951,0.181037943359423,"cortex_late","up","enhancer",FALSE,0.659116307177897,1.02982069670662,0.00558578197927428,"FOSL2"
"MA1534.1","NR1I3",0.282956536984382,0.181037943359423,"cortex_late","up","enhancer",FALSE,0.659116307177897,-2.72002979511977,0.0233570160399139,"NR1I3"
"MA0782.2","PKNOX1",0.263910848989168,0.181037943359423,"cortex_late","up","enhancer",FALSE,0.659116307177897,0.0369953847640083,0.837905544200498,"PKNOX1"
"MA1142.1","FOSL1::JUND",0.325678292733357,0.134459054887807,"cortex_late","up","enhancer",FALSE,0.733737887675694,2.1164680327118,0.0197929391485239,"FOSL1"
"MA0476.1","FOS",0.301052700840366,0.121602896703666,"cortex_late","up","enhancer",FALSE,0.755782972661743,0.0826020248799741,0.94439835226923,"FOS"
"MA0088.2","ZNF143",0.53493000466973,0.121602896703666,"cortex_late","up","enhancer",FALSE,0.755782972661743,0.107516509590034,0.438115949231322,"ZNF143"
"MA0844.1","XBP1",0.457893127243857,0.121602896703666,"cortex_late","up","enhancer",FALSE,0.755782972661743,0.342114108747777,0.0829480281439217,"XBP1"
"MA1138.1","FOSL2::JUNB",0.30120707419041,0.121602896703666,"cortex_late","up","enhancer",FALSE,0.755782972661743,1.02982069670662,0.00558578197927428,"FOSL2"
"MA0030.1","FOXF2",0.264120723772413,0.115555330413582,"cortex_late","up","enhancer",FALSE,0.766380894728542,1.98410999755597,0.0197489798867888,"FOXF2"
"MA0694.1","ZBTB7B",0.234264280261488,0.115555330413582,"cortex_late","up","enhancer",FALSE,0.766380894728542,0.165373367359041,0.670951147825431,"ZBTB7B"
"MA0804.1","TBX19",0.490320502931196,0.115555330413582,"cortex_late","up","enhancer",FALSE,0.766380894728542,-0.0915914008127774,0.802791973426763,"TBX19"
"MA0863.1","MTF1",0.440801354370755,0.115555330413582,"cortex_late","up","enhancer",FALSE,0.766380894728542,-0.217529416862878,0.249649921118796,"MTF1"
"MA0905.1","HOXC10",0.308543313341057,0.115555330413582,"cortex_late","up","enhancer",FALSE,0.766380894728542,0.0572927181076617,0.844097336474233,"HOXC10"
