"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA1141.1","FOS::JUND",0.564463084474866,1.09825223565436,"cortex_late","up","enhancer",TRUE,0.0797531351260007,0.161363286064925,0.46617504459736,"JUND"
"MA0477.2","FOSL1",0.548839267019669,1.09825223565436,"cortex_late","up","enhancer",TRUE,0.0797531351260007,2.1164680327118,0.0197929391485239,"FOSL1"
"MA0476.1","FOS",0.49720385845804,0.766300713816276,"cortex_late","up","enhancer",TRUE,0.171277094142407,0.0826020248799741,0.94439835226923,"FOS"
"MA1134.1","FOS::JUNB",0.523912210650915,0.766300713816276,"cortex_late","up","enhancer",TRUE,0.171277094142407,0.97627375341033,0.0583353553944371,"JUNB"
"MA1130.1","FOSL2::JUN",0.459498611282686,0.745544026543492,"cortex_late","up","enhancer",TRUE,0.179661893894305,1.02982069670662,0.00558578197927428,"FOSL2"
"MA0099.3","FOS::JUN",0.436920564828172,0.650345541654322,"cortex_late","up","enhancer",TRUE,0.223694063299483,0.236695319839362,0.485227546006482,"JUN"
"MA1138.1","FOSL2::JUNB",0.442396681369009,0.650345541654322,"cortex_late","up","enhancer",TRUE,0.223694063299483,1.02982069670662,0.00558578197927428,"FOSL2"
"MA0491.2","JUND",0.470068626724104,0.650345541654322,"cortex_late","up","enhancer",TRUE,0.223694063299483,0.161363286064925,0.46617504459736,"JUND"
"MA0025.2","NFIL3",0.534808376130249,0.650345541654322,"cortex_late","up","enhancer",TRUE,0.223694063299483,0.191079949928064,0.449058808909072,"NFIL3"
"MA1135.1","FOSB::JUNB",0.434004865636371,0.63859024824778,"cortex_late","up","enhancer",TRUE,0.229831605974589,0.97627375341033,0.0583353553944371,"JUNB"
"MA1144.1","FOSL2::JUND",0.436567715590459,0.63859024824778,"cortex_late","up","enhancer",TRUE,0.229831605974589,1.02982069670662,0.00558578197927428,"FOSL2"
"MA1128.1","FOSL1::JUN",0.393017962465065,0.616811991723492,"cortex_late","up","enhancer",TRUE,0.24165067260195,2.1164680327118,0.0197929391485239,"FOSL1"
"MA1142.1","FOSL1::JUND",0.448167919159997,0.616811991723492,"cortex_late","up","enhancer",TRUE,0.24165067260195,2.1164680327118,0.0197929391485239,"FOSL1"
"MA0490.2","JUNB",0.437428678805428,0.616811991723492,"cortex_late","up","enhancer",TRUE,0.24165067260195,0.97627375341033,0.0583353553944371,"JUNB"
"MA0836.2","CEBPD",0.468391768532263,0.584038325685948,"cortex_late","up","enhancer",TRUE,0.260592357190902,1.43950959869681,0.00818065370086555,"CEBPD"
"MA0141.3","ESRRB",0.464469574909392,0.452317671462758,"cortex_late","up","enhancer",TRUE,0.352924922922582,-1.28453064368206,0.0377797473826803,"ESRRB"
"MA0163.1","PLAG1",0.228428261951757,0.443879074562861,"cortex_late","up","enhancer",TRUE,0.359849518106435,-0.654661986185757,0.0377532838072238,"PLAG1"
"MA0905.1","HOXC10",0.444710069458945,0.443879074562861,"cortex_late","up","enhancer",TRUE,0.359849518106435,0.0572927181076617,0.844097336474233,"HOXC10"
"MA0462.2","BATF::JUN",0.349581165018341,0.443879074562861,"cortex_late","up","enhancer",TRUE,0.359849518106435,1.49634347459398,0.0532488931682245,"BATF"
"MA0014.3","PAX5",0.327902335557967,0.390781419733387,"cortex_late","up","enhancer",TRUE,0.406647943442853,2.99983591950139,0.0769262956889678,"PAX5"
"MA0485.2","HOXC9",0.573807569546166,0.390781419733387,"cortex_late","up","enhancer",TRUE,0.406647943442853,-0.00667709431821262,0.982467088460032,"HOXC9"
"MA1503.1","HOXB9",0.536832139720555,0.368928712306053,"cortex_late","up","enhancer",TRUE,0.427633074641563,0.136860467316353,0.80518557440877,"HOXB9"
"MA1634.1","BATF",0.31869994547628,0.302165739670043,"cortex_late","up","enhancer",TRUE,0.498694134650394,1.49634347459398,0.0532488931682245,"BATF"
"MA0102.4","CEBPA",0.407683632326325,0.294285722383258,"cortex_late","up","enhancer",TRUE,0.507825234362127,-0.0733023587432227,0.861723948690874,"CEBPA"
"MA0154.4","EBF1",0.184679261762922,0.294285722383258,"cortex_late","up","enhancer",TRUE,0.507825234362127,0.0705077451459912,0.869678746385901,"EBF1"
"MA0908.1","HOXD11",0.411012536958617,0.241310506401037,"cortex_late","up","enhancer",TRUE,0.57370613435013,0.506225972671253,0.302202683568591,"HOXD11"
"MA1132.1","JUN::JUNB",0.317753448626561,0.213567611399383,"cortex_late","up","enhancer",TRUE,0.611550588735922,0.97627375341033,0.0583353553944371,"JUNB"
