"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA0517.1","STAT1::STAT2",0.510492900795323,0.325269452970902,"cortex_late","up","promoter",FALSE,0.472857788803713,0.598592267430019,0.0910113247364219,"STAT1"
"MA0050.2","IRF1",0.548018538559085,0.325269452970902,"cortex_late","up","promoter",FALSE,0.472857788803713,1.37450664870334,0.0370088681403073,"IRF1"
"MA0147.3","MYC",0.358137586519249,0.325269452970902,"cortex_late","up","promoter",FALSE,0.472857788803713,1.59369877514418,0.00392039588194372,"MYC"
"MA1110.1","NR1H4",0.628759248522269,0.325269452970902,"cortex_late","up","promoter",FALSE,0.472857788803713,-1.46432152794742,0.0290160332017628,"NR1H4"
"MA0476.1","FOS",0.591079865981831,0.271347641042972,"cortex_late","up","promoter",FALSE,0.535367938322879,0.0826020248799741,0.94439835226923,"FOS"
"MA0660.1","MEF2B",0.671601964231656,0.271347641042972,"cortex_late","up","promoter",FALSE,0.535367938322879,0.475476739336793,0.483055531105224,"MEF2B"
"MA0773.1","MEF2D",0.740027074649684,0.271347641042972,"cortex_late","up","promoter",FALSE,0.535367938322879,0.26828937147201,0.134957820351708,"MEF2D"
"MA0895.1","HMBOX1",0.696048738886001,0.271347641042972,"cortex_late","up","promoter",FALSE,0.535367938322879,-0.238052557641045,0.273346129517088,"HMBOX1"
"MA0104.4","MYCN",0.332030853223648,0.271347641042972,"cortex_late","up","promoter",FALSE,0.535367938322879,-0.281144547923944,0.378093464677391,"MYCN"
"MA1135.1","FOSB::JUNB",0.61016304527999,0.271347641042972,"cortex_late","up","promoter",FALSE,0.535367938322879,0.97627375341033,0.0583353553944371,"JUNB"
"MA1138.1","FOSL2::JUNB",0.586213977181878,0.271347641042972,"cortex_late","up","promoter",FALSE,0.535367938322879,1.02982069670662,0.00558578197927428,"FOSL2"
"MA1418.1","IRF3",0.721677087645325,0.271347641042972,"cortex_late","up","promoter",FALSE,0.535367938322879,0.306682115366221,0.244257623646754,"IRF3"
"MA0761.2","ETV1",0.266481615969636,0.271347641042972,"cortex_late","up","promoter",FALSE,0.535367938322879,0.24093031494394,0.410147067585754,"ETV1"
"MA1106.1","HIF1A",0.309706470032554,0.267173873907236,"cortex_late","up","promoter",FALSE,0.540537870165494,1.17233151724341,0.00295747396639751,"HIF1A"
"MA0771.1","HSF4",0.458000375679807,0.254444916318765,"cortex_late","up","promoter",FALSE,0.556615227997632,1.02207314332088,0.0470963824090366,"HSF4"
"MA0825.1","MNT",0.364613345208432,0.254444916318765,"cortex_late","up","promoter",FALSE,0.556615227997632,0.302906271941735,0.167213638976676,"MNT"
"MA0137.3","STAT1",0.405255880332583,0.218579248246075,"cortex_late","up","promoter",FALSE,0.604534028430796,0.598592267430019,0.0910113247364219,"STAT1"
"MA0637.1","CENPB",0.3868891962134,0.218579248246075,"cortex_late","up","promoter",FALSE,0.604534028430796,0.244494560013124,0.149536134045034,"CENPB"
"MA1508.1","IKZF1",0.240708167154152,0.218579248246075,"cortex_late","up","promoter",FALSE,0.604534028430796,2.22001107295305,0.0363179818447436,"IKZF1"
"MA0764.2","ETV4",0.147190460140715,0.218579248246075,"cortex_late","up","promoter",FALSE,0.604534028430796,2.73843382035105,0.0048133053088007,"ETV4"
"MA0051.1","IRF2",0.450415720635423,0.214627797486354,"cortex_late","up","promoter",FALSE,0.610059511318899,0.0769699881575958,0.530864052179819,"IRF2"
"MA0059.1","MAX::MYC",0.343308341699475,0.214627797486354,"cortex_late","up","promoter",FALSE,0.610059511318899,1.59369877514418,0.00392039588194372,"MYC"
"MA0595.1","SREBF1",0.297985498787741,0.214627797486354,"cortex_late","up","promoter",FALSE,0.610059511318899,0.353557944511778,0.652599098818975,"SREBF1"
"MA0099.3","FOS::JUN",0.455374658234673,0.214627797486354,"cortex_late","up","promoter",FALSE,0.610059511318899,0.236695319839362,0.485227546006482,"JUN"
"MA1139.1","FOSL2::JUNB(var.2)",0.550336944405657,0.214627797486354,"cortex_late","up","promoter",FALSE,0.610059511318899,1.02982069670662,0.00558578197927428,"FOSL2"
"MA1144.1","FOSL2::JUND",0.454192487049016,0.214627797486354,"cortex_late","up","promoter",FALSE,0.610059511318899,1.02982069670662,0.00558578197927428,"FOSL2"
"MA1146.1","NR1H4::RXRA",0.370610798800524,0.214627797486354,"cortex_late","up","promoter",FALSE,0.610059511318899,-1.46432152794742,0.0290160332017628,"NR1H4"
"MA1534.1","NR1I3",0.396559938540308,0.214367252857807,"cortex_late","up","promoter",FALSE,0.610425611795376,-2.72002979511977,0.0233570160399139,"NR1I3"
"MA0652.1","IRF8",0.556786566642505,0.167862445310102,"cortex_late","up","promoter",FALSE,0.67941879179201,1.98982572735061,0.0318355265937455,"IRF8"
"MA0058.3","MAX",0.306954249261632,0.167862445310102,"cortex_late","up","promoter",FALSE,0.67941879179201,0.294662800734311,0.0799634345403793,"MAX"
"MA0732.1","EGR3",0.188960923771933,0.158464028116445,"cortex_late","up","promoter",FALSE,0.694282105554994,2.19171628325849,0.0195990315066758,"EGR3"
"MA0823.1","HEY1",0.249245359238989,0.144932228849545,"cortex_late","up","promoter",FALSE,0.716255172281836,0.125806628875297,0.725730410472569,"HEY1"
"MA0477.2","FOSL1",0.445550407249522,0.142300373590834,"cortex_late","up","promoter",FALSE,0.720608907903577,2.1164680327118,0.0197929391485239,"FOSL1"
"MA0655.1","JDP2",0.516466389921714,0.135868199295333,"cortex_late","up","promoter",FALSE,0.73136100495466,0.958148104186466,0.0281604421995401,"JDP2"
"MA1464.1","ARNT2",0.317700592775752,0.135868199295333,"cortex_late","up","promoter",FALSE,0.73136100495466,-0.22817613742687,0.482093876246079,"ARNT2"
"MA1522.1","MAZ",0.0768423544458461,0.135868199295333,"cortex_late","up","promoter",FALSE,0.73136100495466,0.0552141297775917,0.804694482654362,"MAZ"
"MA1134.1","FOS::JUNB",0.418666842541501,0.13564310878814,"cortex_late","up","promoter",FALSE,0.73174016033162,0.97627375341033,0.0583353553944371,"JUNB"
"MA1420.1","IRF5",0.373240585588803,0.125535210381284,"cortex_late","up","promoter",FALSE,0.748970633330649,1.54725426674744,0.0552467572711978,"IRF5"
"MA0018.4","CREB1",0.383029615024999,0.125535210381284,"cortex_late","up","promoter",FALSE,0.748970633330649,0.000478529734493804,0.998525289873834,"CREB1"
"MA0464.2","BHLHE40",0.346409692778178,0.121984627178127,"cortex_late","up","promoter",FALSE,0.755118956312109,0.329607409803677,0.317642356491303,"BHLHE40"
"MA0490.2","JUNB",0.431541097092638,0.121984627178127,"cortex_late","up","promoter",FALSE,0.755118956312109,0.97627375341033,0.0583353553944371,"JUNB"
"MA0070.1","PBX1",0.411084387763853,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,0.044904694999107,0.873847514856928,"PBX1"
"MA0513.1","SMAD2::SMAD3::SMAD4",0.163454257525031,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,0.0977475311134839,0.455184595489929,"SMAD2"
"MA0144.2","STAT3",0.198907043987961,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,1.00273246640633,0.00295747396639751,"STAT3"
"MA0596.1","SREBF2",0.229186873510502,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,0.10911546278969,0.718462078218655,"SREBF2"
"MA0653.1","IRF9",0.453154616819242,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,1.00680066430244,0.0230294800587811,"IRF9"
"MA0666.1","MSX1",0.409847558368582,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,0.0921852394115059,0.836693600199941,"MSX1"
"MA0737.1","GLIS3",0.337598574411087,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,0.259106835857718,0.355310672553884,"GLIS3"
"MA0738.1","HIC2",0.141434744863607,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,0.192753386460157,0.320216921626423,"HIC2"
"MA0741.1","KLF16",0.056341851665584,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,0.614789041339658,0.0460520770974238,"KLF16"
"MA0772.1","IRF7",0.351736554272952,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,0.752973032019716,0.13441786267678,"IRF7"
"MA0777.1","MYBL2",0.411506362053646,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,2.55780018493884,0.0197929391485239,"MYBL2"
"MA0889.1","GBX1",0.358467952468278,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,-0.0916107771471888,0.897775383748752,"GBX1"
"MA0750.2","ZBTB7A",0.0941785711536021,0.108230730708679,"cortex_late","up","promoter",FALSE,0.779415914687333,0.241835027961858,0.0636969423654887,"ZBTB7A"
