"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA0517.1","STAT1::STAT2",0.676076251717198,1.15539954767951,"cortex_late","up","promoter",TRUE,0.0699198442670742,0.598592267430019,0.0910113247364219,"STAT1"
"MA0761.2","ETV1",0.386779682575763,1.15539954767951,"cortex_late","up","promoter",TRUE,0.0699198442670742,0.24093031494394,0.410147067585754,"ETV1"
"MA0773.1","MEF2D",0.872312381732893,0.983509995756809,"cortex_late","up","promoter",TRUE,0.103869969535157,0.26828937147201,0.134957820351708,"MEF2D"
"MA0147.3","MYC",0.399946573558789,0.983509995756809,"cortex_late","up","promoter",TRUE,0.103869969535157,1.59369877514418,0.00392039588194372,"MYC"
"MA0660.1","MEF2B",0.83847598506803,0.797505432968507,"cortex_late","up","promoter",TRUE,0.159402293956408,0.475476739336793,0.483055531105224,"MEF2B"
"MA1508.1","IKZF1",0.370938097018588,0.797505432968507,"cortex_late","up","promoter",TRUE,0.159402293956408,2.22001107295305,0.0363179818447436,"IKZF1"
"MA0476.1","FOS",0.644243816403323,0.581545490581234,"cortex_late","up","promoter",TRUE,0.262092449307218,0.0826020248799741,0.94439835226923,"FOS"
"MA0137.3","STAT1",0.556432938272157,0.581545490581234,"cortex_late","up","promoter",TRUE,0.262092449307218,0.598592267430019,0.0910113247364219,"STAT1"
"MA1110.1","NR1H4",0.592430587491645,0.581545490581234,"cortex_late","up","promoter",TRUE,0.262092449307218,-1.46432152794742,0.0290160332017628,"NR1H4"
"MA1135.1","FOSB::JUNB",0.652999774998428,0.581545490581234,"cortex_late","up","promoter",TRUE,0.262092449307218,0.97627375341033,0.0583353553944371,"JUNB"
"MA1146.1","NR1H4::RXRA",0.528265676179761,0.581545490581234,"cortex_late","up","promoter",TRUE,0.262092449307218,-1.46432152794742,0.0290160332017628,"NR1H4"
"MA0051.1","IRF2",0.575385664479101,0.473047179427581,"cortex_late","up","promoter",TRUE,0.336475014545656,0.0769699881575958,0.530864052179819,"IRF2"
"MA0050.2","IRF1",0.473729460007751,0.473047179427581,"cortex_late","up","promoter",TRUE,0.336475014545656,1.37450664870334,0.0370088681403073,"IRF1"
"MA0099.3","FOS::JUN",0.588959779139409,0.473047179427581,"cortex_late","up","promoter",TRUE,0.336475014545656,0.236695319839362,0.485227546006482,"JUN"
"MA1138.1","FOSL2::JUNB",0.5811025549908,0.473047179427581,"cortex_late","up","promoter",TRUE,0.336475014545656,1.02982069670662,0.00558578197927428,"FOSL2"
"MA1147.1","NR4A2::RXRA",0.443271435552866,0.473047179427581,"cortex_late","up","promoter",TRUE,0.336475014545656,-0.356143623481072,0.0459711949172875,"RXRA"
"MA1418.1","IRF3",0.700218121654993,0.415376440968841,"cortex_late","up","promoter",TRUE,0.384258567182747,0.306682115366221,0.244257623646754,"IRF3"
"MA0598.3","EHF",0.289174186724423,0.411460574206965,"cortex_late","up","promoter",TRUE,0.387738946336341,1.7461012905278,0.0048133053088007,"EHF"
"MA1144.1","FOSL2::JUND",0.531457138962714,0.354484773438252,"cortex_late","up","promoter",TRUE,0.442094616641931,1.02982069670662,0.00558578197927428,"FOSL2"
