"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA0478.1","FOSL2",0.380935329363436,0.484255149488833,"medulla_early","down","enhancer",FALSE,0.327902592621424,1.11642145947387,0.0267171782287447,"FOSL2"
"MA0774.1","MEIS2",0.262667398918095,0.333021478769532,"medulla_early","down","enhancer",FALSE,0.464492302400758,0.318231865575317,0.341636157032765,"MEIS2"
"MA0508.3","PRDM1",0.228061257625338,0.333021478769532,"medulla_early","down","enhancer",FALSE,0.464492302400758,0.476147591593726,0.573731024201796,"PRDM1"
"MA0003.4","TFAP2A",0.242229301948909,0.333021478769532,"medulla_early","down","enhancer",FALSE,0.464492302400758,1.19516253571842,0.081288610877865,"TFAP2A"
"MA0115.1","NR1H2::RXRA",0.690362629550882,0.233437275752114,"medulla_early","down","enhancer",FALSE,0.584201576017475,0.305615412227834,0.16999764630218,"NR1H2"
"MA1125.1","ZNF384",0.214433491850302,0.233437275752114,"medulla_early","down","enhancer",FALSE,0.584201576017475,0.0126906233976918,0.950318411999697,"ZNF384"
"MA0114.4","HNF4A",0.307584372771144,0.233437275752114,"medulla_early","down","enhancer",FALSE,0.584201576017475,-4.05641177125823,0.0317899523202682,"HNF4A"
"MA0484.2","HNF4G",0.311657440523324,0.233437275752114,"medulla_early","down","enhancer",FALSE,0.584201576017475,-3.1103236919031,0.0134950986177877,"HNF4G"
"MA1602.1","ZSCAN29",0.545720079990599,0.115982474155655,"medulla_early","down","enhancer",FALSE,0.765627502992743,-0.211109284167653,0.616081035276761,"ZSCAN29"
"MA1656.1","ZNF449",0.247893238087451,0.115982474155655,"medulla_early","down","enhancer",FALSE,0.765627502992743,0.239194657937899,0.528016811331997,"ZNF449"
"MA0846.1","FOXC2",0.175022436445952,0.076152057396467,"medulla_early","down","enhancer",FALSE,0.839166121960066,0.394689052961632,0.290072040172465,"FOXC2"
"MA0768.1","LEF1",0.371187917597972,0.0268127236169348,"medulla_early","down","enhancer",FALSE,0.940128625253694,0.650872478596595,0.163893619637216,"LEF1"
"MA0811.1","TFAP2B",0.193174747323289,0.0268127236169348,"medulla_early","down","enhancer",FALSE,0.940128625253694,-0.146093515886961,0.802852344930414,"TFAP2B"
"MA1112.2","NR4A1",0.195420641319707,0.0224386601337193,"medulla_early","down","enhancer",FALSE,0.94964511785547,0.675924232975686,0.583915033713709,"NR4A1"
"MA0734.2","GLI2",0.369141068652573,0.00170967769531031,"medulla_early","down","enhancer",FALSE,0.996071060185197,0.7920876358478,0.126422216899128,"GLI2"
"MA0769.2","TCF7",0.198817837580028,0.00170967769531031,"medulla_early","down","enhancer",FALSE,0.996071060185197,0.55069342337898,0.297036318782577,"TCF7"
"MA0031.1","FOXD1",-0.278455198163125,0,"medulla_early","down","enhancer",FALSE,1,0.65252647273069,0.0824299263662223,"FOXD1"
"MA0051.1","IRF2",-0.25970007165496,0,"medulla_early","down","enhancer",FALSE,1,0.222137248725054,0.312243359118917,"IRF2"
"MA0059.1","MAX::MYC",-0.0151631702199637,0,"medulla_early","down","enhancer",FALSE,1,0.271522953883504,0.147301447432832,"MAX"
"MA0066.1","PPARG",0.0215595808024762,0,"medulla_early","down","enhancer",FALSE,1,1.48202957040382,0.0222056838664202,"PPARG"
"MA0070.1","PBX1",-0.0700943909867382,0,"medulla_early","down","enhancer",FALSE,1,0.543198366580411,0.107678491415961,"PBX1"
"MA0071.1","RORA",0.166683554984075,0,"medulla_early","down","enhancer",FALSE,1,-0.646097564647312,0.137965775448693,"RORA"
"MA0073.1","RREB1",-0.0391875333807317,0,"medulla_early","down","enhancer",FALSE,1,-0.284958489325675,0.439839560466864,"RREB1"
"MA0074.1","RXRA::VDR",0.122171238054249,0,"medulla_early","down","enhancer",FALSE,1,-1.27913553121649,0.165303952902181,"VDR"
"MA0077.1","SOX9",-0.0845778712783813,0,"medulla_early","down","enhancer",FALSE,1,0.0291535110865756,0.977483202509387,"SOX9"
