"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA0652.1","IRF8",1.3525858408936,3.66612071068775,"medulla_early","up","promoter",TRUE,0.000215714475470517,1.2014900297991,0.0750354753981774,"IRF8"
"MA0517.1","STAT1::STAT2",0.947689920825852,3.13854560199999,"medulla_early","up","promoter",TRUE,0.00072686607246278,0.938329362011193,0.099434494930946,"STAT1"
"MA0772.1","IRF7",1.16875992529247,2.98884015448568,"medulla_early","up","promoter",TRUE,0.00102602949502325,0.856907633305489,0.191051905123836,"IRF7"
"MA0050.2","IRF1",0.920184112461258,2.67324570852081,"medulla_early","up","promoter",TRUE,0.00212204354482051,1.50356995512709,0.0225323428242336,"IRF1"
"MA0653.1","IRF9",1.04947469942708,2.3114787649973,"medulla_early","up","promoter",TRUE,0.00488113967192103,1.16627744633299,0.0137129769988415,"IRF9"
"MA1418.1","IRF3",1.00776259497637,1.3997164924851,"medulla_early","up","promoter",TRUE,0.0398367139829889,0.349421878511716,0.2132767738104,"IRF3"
"MA1419.1","IRF4",0.746891783973809,0.859528451990159,"medulla_early","up","promoter",TRUE,0.138188387140022,-0.400228479677541,0.767396072927768,"IRF4"
"MA0137.3","STAT1",0.624174198768173,0.737326762058315,"medulla_early","up","promoter",TRUE,0.183093631219072,0.938329362011193,0.099434494930946,"STAT1"
"MA0507.1","POU2F2",0.785040412878238,0.509431573943175,"medulla_early","up","promoter",TRUE,0.309434281185498,1.58318370744051,0.0707840992975005,"POU2F2"
"MA0785.1","POU2F1",0.778677485833413,0.509431573943175,"medulla_early","up","promoter",TRUE,0.309434281185498,-0.071411983141451,0.891977029241261,"POU2F1"
"MA0051.1","IRF2",0.681770332271767,0.486095614978238,"medulla_early","up","promoter",TRUE,0.326515937979432,0.222137248725054,0.312243359118917,"IRF2"
"MA0628.1","POU6F1",0.723365431174202,0.429428818258081,"medulla_early","up","promoter",TRUE,0.372024191680924,0.529922106867129,0.138645572763802,"POU6F1"
