"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA0655.1","JDP2",0.571597681120712,0.177057319030532,"cortex_late","down","enhancer",FALSE,0.665185357950485,0.981298186715939,0.0268722362635841,"JDP2"
"MA1493.1","HES6",0.427788629243392,0.136262039455605,"cortex_late","down","enhancer",FALSE,0.730698070511394,0.139709716480486,0.681215870772818,"HES6"
"MA0864.2","E2F2",0.588186674581156,0.136262039455605,"cortex_late","down","enhancer",FALSE,0.730698070511394,2.16310203768275,0.0266657347108946,"E2F2"
"MA0861.1","TP73",0.547593587068658,0.109378789228713,"cortex_late","down","enhancer",FALSE,0.777358247741724,0.198602394146859,0.740297241194491,"TP73"
"MA0833.2","ATF4",0.409604800206563,0.109378789228713,"cortex_late","down","enhancer",FALSE,0.777358247741724,0.554828797699761,0.0497667357402476,"ATF4"
"MA0620.3","MITF",0.356399292467908,0.109378789228713,"cortex_late","down","enhancer",FALSE,0.777358247741724,-0.421950461520824,0.084258042308899,"MITF"
"MA0462.2","BATF::JUN",0.248331077743205,0.0916103838810394,"cortex_late","down","enhancer",FALSE,0.809822084434781,1.56394663954186,0.0618399334525825,"BATF"
"MA0785.1","POU2F1",0.230504290207165,0.0895206579391187,"cortex_late","down","enhancer",FALSE,0.813728153525626,0.223728842825509,0.428331585315998,"POU2F1"
"MA0797.1","TGIF2",0.391812828437796,0.0833641263914218,"cortex_late","down","enhancer",FALSE,0.825345663184421,-0.0894147349062706,0.7842097534443,"TGIF2"
"MA0470.2","E2F4",0.484227646925486,0.0710347625956381,"cortex_late","down","enhancer",FALSE,0.849112506095185,0.268943575403831,0.186817082099646,"E2F4"
"MA0737.1","GLIS3",0.445077441016547,0.0509666554342746,"cortex_late","down","enhancer",FALSE,0.889269392184764,0.230399755239139,0.479346309730214,"GLIS3"
"MA0773.1","MEF2D",0.383939406748596,0.0509666554342746,"cortex_late","down","enhancer",FALSE,0.889269392184764,0.277264857858333,0.129101237872296,"MEF2D"
"MA1124.1","ZNF24",0.251024080602234,0.0509666554342746,"cortex_late","down","enhancer",FALSE,0.889269392184764,-0.117114807392734,0.498643138228834,"ZNF24"
"MA1523.1","MSANTD3",0.172146729670088,0.0509666554342746,"cortex_late","down","enhancer",FALSE,0.889269392184764,-0.296078459342358,0.257325911940941,"MSANTD3"
"MA0632.2","TCFL5",0.278614994013724,0.0509666554342746,"cortex_late","down","enhancer",FALSE,0.889269392184764,-0.219376841216913,0.33426805669732,"TCFL5"
"MA1634.1","BATF",0.215596057872051,0.0509666554342746,"cortex_late","down","enhancer",FALSE,0.889269392184764,1.56394663954186,0.0618399334525825,"BATF"
"MA1651.1","ZFP42",0.245719797864333,0.0509666554342746,"cortex_late","down","enhancer",FALSE,0.889269392184764,0.590383423050386,0.229993067100302,"ZFP42"
"MA0835.2","BATF3",0.220799524347703,0.0509666554342746,"cortex_late","down","enhancer",FALSE,0.889269392184764,0.857094975164021,0.254780467456984,"BATF3"
"MA0478.1","FOSL2",0.174348318335688,0.0476174361148495,"cortex_late","down","enhancer",FALSE,0.896153827231718,1.02846159986398,0.00413734877776558,"FOSL2"
"MA0477.2","FOSL1",0.220725012846774,0.040353789342509,"cortex_late","down","enhancer",FALSE,0.91126819043868,2.10935552338616,0.016545053702966,"FOSL1"
"MA0775.1","MEIS3",0.152610377641224,0.037817824583584,"cortex_late","down","enhancer",FALSE,0.916604901780454,1.1314026229715,0.0600622512986775,"MEIS3"
"MA0788.1","POU3F3",0.184576463674571,0.037817824583584,"cortex_late","down","enhancer",FALSE,0.916604901780454,0.0200365438456984,0.969373434085365,"POU3F3"
"MA0080.5","SPI1",0.101986563048184,0.0278114037903784,"cortex_late","down","enhancer",FALSE,0.937969239913359,2.08688724918781,0.0277096386312101,"SPI1"
"MA0131.2","HINFP",0.248812372706265,0.0260455828745247,"cortex_late","down","enhancer",FALSE,0.941790742441067,-0.0669551288115535,0.763974922779228,"HINFP"
"MA0472.2","EGR2",0.273244946655064,0.0244846708722137,"cortex_late","down","enhancer",FALSE,0.945181753574213,2.9557831683514,0.00543504740369628,"EGR2"
"MA1132.1","JUN::JUNB",0.201616335828615,0.0244846708722137,"cortex_late","down","enhancer",FALSE,0.945181753574213,0.987021576512366,0.0505275527139367,"JUNB"
"MA0114.4","HNF4A",0.163115161529521,0.0244846708722137,"cortex_late","down","enhancer",FALSE,0.945181753574213,-1.25980610586777,0.0892649856453942,"HNF4A"
"MA0497.1","MEF2C",0.133840714971871,0.0227272618188176,"cortex_late","down","enhancer",FALSE,0.949014259879477,0.319820453201881,0.430764311998789,"MEF2C"
"MA0095.2","YY1",0.174231941672005,0.00784812555599858,"cortex_late","down","enhancer",FALSE,0.982091324073839,-0.0384036864583219,0.761721173984392,"YY1"
"MA1125.1","ZNF384",0.1079756852297,0.00784812555599858,"cortex_late","down","enhancer",FALSE,0.982091324073839,-0.198809362199945,0.119827039458488,"ZNF384"
"MA0030.1","FOXF2",-0.0697843867514463,0,"cortex_late","down","enhancer",FALSE,1,1.97874974844741,0.0164160764157412,"FOXF2"
"MA0031.1","FOXD1",-0.0275388024610281,0,"cortex_late","down","enhancer",FALSE,1,0.723275246426268,0.11360860257452,"FOXD1"
"MA0051.1","IRF2",-0.148818504181578,0,"cortex_late","down","enhancer",FALSE,1,0.0874187242730144,0.522403921571679,"IRF2"
"MA0059.1","MAX::MYC",-0.0520716424005387,0,"cortex_late","down","enhancer",FALSE,1,1.59019081752968,0.00294986225410836,"MYC"
"MA0066.1","PPARG",-0.0908108973001331,0,"cortex_late","down","enhancer",FALSE,1,0.00149969125401683,0.997290578342321,"PPARG"
"MA0070.1","PBX1",-0.626024319623313,0,"cortex_late","down","enhancer",FALSE,1,0.0480557333630021,0.861020911821847,"PBX1"
"MA0071.1","RORA",-0.0883161018339518,0,"cortex_late","down","enhancer",FALSE,1,-0.386721146891125,0.400755729885775,"RORA"
"MA0073.1","RREB1",-0.0697144401799266,0,"cortex_late","down","enhancer",FALSE,1,-0.267612957653856,0.368219135542279,"RREB1"
"MA0074.1","RXRA::VDR",-0.0400484824570455,0,"cortex_late","down","enhancer",FALSE,1,-0.35170414551812,0.0446090522371796,"RXRA"
"MA0077.1","SOX9",0.120241602077479,0,"cortex_late","down","enhancer",FALSE,1,2.58056679197372,0.00543504740369628,"SOX9"
"MA0091.1","TAL1::TCF3",-0.0354370152393706,0,"cortex_late","down","enhancer",FALSE,1,0.557824702012325,0.164946685394945,"TCF3"
"MA0101.1","REL",-0.0727368377963211,0,"cortex_late","down","enhancer",FALSE,1,0.551292490640919,0.272342374321645,"REL"
"MA0107.1","RELA",-0.0877275213343003,0,"cortex_late","down","enhancer",FALSE,1,0.479175835146296,0.0389355204112652,"RELA"
"MA0115.1","NR1H2::RXRA",0.309960828354446,0,"cortex_late","down","enhancer",FALSE,1,-0.35170414551812,0.0446090522371796,"RXRA"
"MA0119.1","NFIC::TLX1",-0.300385107094614,0,"cortex_late","down","enhancer",FALSE,1,0.0479395657695862,0.821202623198197,"NFIC"
"MA0139.1","CTCF",0.0647948323137451,0,"cortex_late","down","enhancer",FALSE,1,-0.173609257308518,0.232497739386449,"CTCF"
"MA0138.2","REST",-0.23493165269455,0,"cortex_late","down","enhancer",FALSE,1,0.0571722519401625,0.849285039157882,"REST"
"MA0152.1","NFATC2",-0.163664114765757,0,"cortex_late","down","enhancer",FALSE,1,0.460547363681982,0.29695714802985,"NFATC2"
"MA0159.1","RARA::RXRA",-0.0440537843324345,0,"cortex_late","down","enhancer",FALSE,1,-0.35170414551812,0.0446090522371796,"RXRA"
"MA0160.1","NR4A2",-0.0310759111373864,0,"cortex_late","down","enhancer",FALSE,1,-0.099963853280352,0.860557992521686,"NR4A2"
"MA0163.1","PLAG1",-0.268640907987646,0,"cortex_late","down","enhancer",FALSE,1,-0.659814240566227,0.0330035180216781,"PLAG1"
"MA0259.1","ARNT::HIF1A",-0.0267595021813145,0,"cortex_late","down","enhancer",FALSE,1,1.14093533925004,0.00389864211258081,"HIF1A"
"MA0476.1","FOS",0.181871386334056,0,"cortex_late","down","enhancer",FALSE,1,0.0732688759655913,0.949948116968932,"FOS"
"MA0488.1","JUN",-0.0553512462525179,0,"cortex_late","down","enhancer",FALSE,1,0.234618959475633,0.479714656230028,"JUN"
"MA0501.1","MAF::NFE2",0.149604996673558,0,"cortex_late","down","enhancer",FALSE,1,-0.749296741488903,0.138596254609732,"MAF"
"MA0504.1","NR2C2",-0.0486607887015467,0,"cortex_late","down","enhancer",FALSE,1,0.0261954527076078,0.894017430809098,"NR2C2"
"MA0506.1","NRF1",0.109959588663433,0,"cortex_late","down","enhancer",FALSE,1,0.159318075994392,0.438612794523248,"NRF1"
"MA0507.1","POU2F2",0.044574495659325,0,"cortex_late","down","enhancer",FALSE,1,2.79185820405312,0.0298145721105701,"POU2F2"
"MA0513.1","SMAD2::SMAD3::SMAD4",0.0924829220443399,0,"cortex_late","down","enhancer",FALSE,1,0.0888215081793708,0.531558295838665,"SMAD2"
"MA0517.1","STAT1::STAT2",0.059032862325358,0,"cortex_late","down","enhancer",FALSE,1,0.603573978204228,0.0811251148209067,"STAT1"
"MA0523.1","TCF7L2",0.0358725536138333,0,"cortex_late","down","enhancer",FALSE,1,0.00238143260191759,0.989583890092099,"TCF7L2"
"MA0527.1","ZBTB33",0.101971393625727,0,"cortex_late","down","enhancer",FALSE,1,0.130491570655312,0.645490492018604,"ZBTB33"
"MA0076.2","ELK4",-0.132832457718364,0,"cortex_late","down","enhancer",FALSE,1,0.113728816705128,0.724685215620708,"ELK4"
"MA0050.2","IRF1",0.0980976421218909,0,"cortex_late","down","enhancer",FALSE,1,1.40089257237319,0.0329814929460361,"IRF1"
"MA0137.3","STAT1",0.110687037293354,0,"cortex_late","down","enhancer",FALSE,1,0.603573978204228,0.0811251148209067,"STAT1"
"MA0144.2","STAT3",-0.0379088360900992,0,"cortex_late","down","enhancer",FALSE,1,0.99721539206208,0.00260121202556568,"STAT3"
"MA0140.2","GATA1::TAL1",-0.137139809751532,0,"cortex_late","down","enhancer",FALSE,1,0.238086368779233,0.590072504281107,"TAL1"
"MA0593.1","FOXP2",0.0292865810281366,0,"cortex_late","down","enhancer",FALSE,1,-0.0870864022130844,0.894221743407541,"FOXP2"
"MA0595.1","SREBF1",0.0640105400739337,0,"cortex_late","down","enhancer",FALSE,1,0.360771361816368,0.639549160156198,"SREBF1"
"MA0596.1","SREBF2",0.0715450197684859,0,"cortex_late","down","enhancer",FALSE,1,0.11974876308076,0.693522766072638,"SREBF2"
"MA0597.1","THAP1",-0.324995071006758,0,"cortex_late","down","enhancer",FALSE,1,-0.393221135299563,0.113535365474224,"THAP1"
"MA0599.1","KLF5",-0.106905655998451,0,"cortex_late","down","enhancer",FALSE,1,0.646858846811948,0.218190362765962,"KLF5"
"MA0610.1","DMRT3",0.0135330463746843,0,"cortex_late","down","enhancer",FALSE,1,-0.104872810567713,0.949948116968932,"DMRT3"
"MA0625.1","NFATC3",-0.0937671635903934,0,"cortex_late","down","enhancer",FALSE,1,-0.00494304575414795,0.976852407429291,"NFATC3"
"MA0628.1","POU6F1",-0.0515342889014292,0,"cortex_late","down","enhancer",FALSE,1,0.361985665472876,0.176889171398798,"POU6F1"
"MA0636.1","BHLHE41",0.0529650083977309,0,"cortex_late","down","enhancer",FALSE,1,0.140487032426744,0.654500510174604,"BHLHE41"
"MA0637.1","CENPB",0.0396513881325777,0,"cortex_late","down","enhancer",FALSE,1,0.259625818160133,0.163432874701111,"CENPB"
"MA0638.1","CREB3",-0.281689936177288,0,"cortex_late","down","enhancer",FALSE,1,-0.0312938897977935,0.859846071925377,"CREB3"
"MA0641.1","ELF4",-0.296156569051063,0,"cortex_late","down","enhancer",FALSE,1,1.1869546001238,0.0558249946846822,"ELF4"
