"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA0030.1","FOXF2",0.228760717982886,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,1.97874974844741,0.0164160764157412,"FOXF2"
"MA0074.1","RXRA::VDR",0.309375572189836,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.35170414551812,0.0446090522371796,"RXRA"
"MA0091.1","TAL1::TCF3",0.281467030853772,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.557824702012325,0.164946685394945,"TCF3"
"MA0163.1","PLAG1",0.160033680468255,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.659814240566227,0.0330035180216781,"PLAG1"
"MA0476.1","FOS",0.315676276154822,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.0732688759655913,0.949948116968932,"FOS"
"MA0095.2","YY1",0.195308731550584,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.0384036864583219,0.761721173984392,"YY1"
"MA0593.1","FOXP2",0.151513735038786,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.0870864022130844,0.894221743407541,"FOXP2"
"MA0042.2","FOXI1",0.182527123160947,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-1.39593847266708,0.0144730671977558,"FOXI1"
"MA0660.1","MEF2B",0.365554844478758,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.49074170369681,0.461384502314738,"MEF2B"
"MA0665.1","MSC",0.165495589497142,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,2.83767986683434,0.0379757731696713,"MSC"
"MA0666.1","MSX1",0.247876709393701,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.1174666850007,0.798678021225016,"MSX1"
"MA0691.1","TFAP4",0.209764848560842,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.234059751067489,0.491775768024472,"TFAP4"
"MA0716.1","PRRX1",0.207500382470337,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.88704444168176,0.0474606382941013,"PRRX1"
"MA0722.1","VAX1",0.265377845861875,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.305881850899317,0.833767807084669,"VAX1"
"MA0141.3","ESRRB",0.314402146229916,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-1.23719169277586,0.0538021583252273,"ESRRB"
"MA0088.2","ZNF143",0.436707735349785,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.113175542531204,0.423980285045556,"ZNF143"
"MA0773.1","MEF2D",0.347212847098717,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.277264857858333,0.129101237872296,"MEF2D"
"MA0498.2","MEIS1",0.18823765353065,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.664042397654292,0.158880222962715,"MEIS1"
"MA0105.4","NFKB1",0.376680315640206,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.405257807980465,0.0892931004887569,"NFKB1"
"MA0795.1","SMAD3",0.34812985997443,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.121366048735763,0.588111009882596,"SMAD3"
"MA0848.1","FOXO4",0.182527123160947,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.521458010922331,0.00748630965046787,"FOXO4"
"MA0855.1","RXRB",0.355455775061116,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.013595831285115,0.930702571123666,"RXRB"
"MA0886.1","EMX2",0.193777589586482,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.0119007550013999,0.973091095607023,"EMX2"
"MA0889.1","GBX1",0.20815517365236,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.0757867066593149,0.915108276475197,"GBX1"
"MA0899.1","HOXA10",0.195944460623492,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.301074636628616,0.0624049336475272,"HOXA10"
"MA0905.1","HOXC10",0.244426762750951,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.0829181808846,0.79923636090623,"HOXC10"
"MA0036.3","GATA2",0.263559925732812,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.922089085870465,0.0238793397352311,"GATA2"
"MA1106.1","HIF1A",0.228726608050319,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,1.14093533925004,0.00389864211258081,"HIF1A"
"MA0014.3","PAX5",0.309012998161647,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,3.04953545833408,0.0676302692915357,"PAX5"
"MA0037.3","GATA3",0.293534319742101,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-0.016450652305716,0.957898617959031,"GATA3"
"MA0099.3","FOS::JUN",0.258788626804624,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.234618959475633,0.479714656230028,"JUN"
"MA1128.1","FOSL1::JUN",0.288400890348717,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,2.10935552338616,0.016545053702966,"FOSL1"
"MA1130.1","FOSL2::JUN",0.320146217136714,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,1.02846159986398,0.00413734877776558,"FOSL2"
"MA1132.1","JUN::JUNB",0.188263423104637,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.987021576512366,0.0505275527139367,"JUNB"
"MA1134.1","FOS::JUNB",0.323816616248036,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.987021576512366,0.0505275527139367,"JUNB"
"MA1135.1","FOSB::JUNB",0.204644821929575,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.987021576512366,0.0505275527139367,"JUNB"
"MA1137.1","FOSL1::JUNB",0.19902618278363,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,2.10935552338616,0.016545053702966,"FOSL1"
"MA1138.1","FOSL2::JUNB",0.26653582867562,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,1.02846159986398,0.00413734877776558,"FOSL2"
"MA1141.1","FOS::JUND",0.36270439019804,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.176041424308677,0.44988657898698,"JUND"
"MA1142.1","FOSL1::JUND",0.254622472884114,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,2.10935552338616,0.016545053702966,"FOSL1"
"MA1144.1","FOSL2::JUND",0.251008511382202,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,1.02846159986398,0.00413734877776558,"FOSL2"
"MA1148.1","PPARA::RXRA",0.142369807018044,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,-1.40563125878995,0.0178870437190186,"PPARA"
"MA1497.1","HOXA6",0.269771021172891,0.0147035200310386,"cortex_late","up","enhancer",TRUE,0.966710598447996,0.0684813732562888,0.802291316465486,"HOXA6"
