"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA0112.3","ESR1",1.00472172561741,0.992204539223518,"medulla_early","down","promoter",FALSE,0.101811177607033,-0.754140224542913,0.131717332990373,"ESR1"
"MA0160.1","NR4A2",0.516561346066462,0.440404873723185,"medulla_early","down","promoter",FALSE,0.362739730729466,0.670144111666451,0.506393131551157,"NR4A2"
"MA0141.3","ESRRB",0.780752617514381,0.440404873723185,"medulla_early","down","promoter",FALSE,0.362739730729466,-0.0320077363265767,0.982244692972162,"ESRRB"
"MA1111.1","NR2F2",0.64566445866337,0.440404873723185,"medulla_early","down","promoter",FALSE,0.362739730729466,0.0773628921649152,0.792190519734132,"NR2F2"
"MA0632.2","TCFL5",0.267253912036964,0.164328048678264,"medulla_early","down","promoter",FALSE,0.684970631578273,-0.125984535075871,0.641277270968521,"TCFL5"
"MA0259.1","ARNT::HIF1A",0.342373331124243,0.158921461162614,"medulla_early","down","promoter",FALSE,0.693551218112737,1.01651237888565,0.207865436005933,"HIF1A"
"MA0625.1","NFATC3",0.471762075385906,0.158921461162614,"medulla_early","down","promoter",FALSE,0.693551218112737,-0.0155296820718904,0.956731123773962,"NFATC3"
"MA0636.1","BHLHE41",0.666837609876362,0.158921461162614,"medulla_early","down","promoter",FALSE,0.693551218112737,0.148710381196328,0.818255736703222,"BHLHE41"
"MA1581.1","ZBTB6",0.300154857436675,0.158921461162614,"medulla_early","down","promoter",FALSE,0.693551218112737,-0.361137112953845,0.625151330776602,"ZBTB6"
"MA0038.2","GFI1",0.636883314426442,0.158921461162614,"medulla_early","down","promoter",FALSE,0.693551218112737,1.38160825886547,0.29103299967878,"GFI1"
"MA0025.2","NFIL3",0.649162445231926,0.158921461162614,"medulla_early","down","promoter",FALSE,0.693551218112737,0.745980541597738,0.122501804370263,"NFIL3"
"MA0527.1","ZBTB33",0.356449280201366,0.154016332237005,"medulla_early","down","promoter",FALSE,0.701428919731669,-0.0650986887417684,0.914667083595947,"ZBTB33"
"MA0043.3","HLF",0.608248218237106,0.154016332237005,"medulla_early","down","promoter",FALSE,0.701428919731669,-0.604757118734295,0.163746211181165,"HLF"
"MA0089.2","NFE2L1",0.60424747070814,0.154016332237005,"medulla_early","down","promoter",FALSE,0.701428919731669,0.250576209871364,0.291460571276196,"NFE2L1"
"MA1112.2","NR4A1",0.496496536148003,0.154016332237005,"medulla_early","down","promoter",FALSE,0.701428919731669,0.584862578948409,0.66978651208401,"NR4A1"
"MA0152.1","NFATC2",0.365589604301801,0.0571792154649152,"medulla_early","down","promoter",FALSE,0.876638993647158,0.590951661666812,0.346753245063191,"NFATC2"
"MA1149.1","RARA::RXRG",0.321291448210457,0.0571792154649152,"medulla_early","down","promoter",FALSE,0.876638993647158,-1.92633319462346,0.173777595901941,"RXRG"
"MA0501.1","MAF::NFE2",0.517168163517575,0.00633986775198357,"medulla_early","down","promoter",FALSE,0.985507950466686,-0.82789645632328,0.147136755264912,"MAF"
"MA1541.1","NR6A1",0.398941146248424,0.00633986775198357,"medulla_early","down","promoter",FALSE,0.985507950466686,0.130870702750765,0.710272688724595,"NR6A1"
"MA1592.1","ZNF274",0.49991728418772,0.00633986775198357,"medulla_early","down","promoter",FALSE,0.985507950466686,0.38620323622967,0.18285194566605,"ZNF274"
"MA1643.1","NFIB",0.426331824272594,0.00633986775198357,"medulla_early","down","promoter",FALSE,0.985507950466686,-0.443600970555623,0.236817474381606,"NFIB"
"MA1113.2","PBX2",0.501105740866159,0.00633986775198357,"medulla_early","down","promoter",FALSE,0.985507950466686,0.168210555534477,0.431059780126037,"PBX2"
"MA0031.1","FOXD1",0.1184134667902,0,"medulla_early","down","promoter",FALSE,1,0.63017856901305,0.121903352863792,"FOXD1"
"MA0051.1","IRF2",-0.271930065140206,0,"medulla_early","down","promoter",FALSE,1,0.217173928590692,0.341640931174144,"IRF2"
"MA0059.1","MAX::MYC",0.0212881582372484,0,"medulla_early","down","promoter",FALSE,1,0.840782416698474,0.234985963307979,"MYC"
"MA0066.1","PPARG",0.194994598871843,0,"medulla_early","down","promoter",FALSE,1,1.37320301516143,0.0869135823172405,"PPARG"
"MA0070.1","PBX1",-0.15621428379939,0,"medulla_early","down","promoter",FALSE,1,0.504126129843289,0.19190814414701,"PBX1"
"MA0071.1","RORA",0.296286509652403,0,"medulla_early","down","promoter",FALSE,1,-0.560742748182804,0.335161734083373,"RORA"
"MA0073.1","RREB1",-0.099562149209695,0,"medulla_early","down","promoter",FALSE,1,-0.232197035188481,0.618080744818636,"RREB1"
"MA0074.1","RXRA::VDR",-0.421188339116089,0,"medulla_early","down","promoter",FALSE,1,-1.09932889011824,0.372016550714213,"VDR"
"MA0077.1","SOX9",-0.121278899586339,0,"medulla_early","down","promoter",FALSE,1,0.149611239615608,0.904147284538814,"SOX9"
