"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA0595.1","SREBF1",0.306829672752988,0.0497109463703462,"medulla_early","up","enhancer",TRUE,0.891844325985264,-0.394358063631408,0.478982400806204,"SREBF1"
"MA0795.1","SMAD3",0.638994499674803,0.0497109463703462,"medulla_early","up","enhancer",TRUE,0.891844325985264,0.196828471997327,0.6161189028885,"SMAD3"
"MA0037.3","GATA3",0.33539449127244,0.0497109463703462,"medulla_early","up","enhancer",TRUE,0.891844325985264,1.24684229120587,0.153314943932154,"GATA3"
"MA1491.1","GLI3",0.32249318852822,0.0497109463703462,"medulla_early","up","enhancer",TRUE,0.891844325985264,0.420827102716735,0.408586637681698,"GLI3"
"MA1557.1","SMAD5",0.529762237245452,0.0497109463703462,"medulla_early","up","enhancer",TRUE,0.891844325985264,-0.154342043721525,0.779330352383936,"SMAD5"
"MA1107.2","KLF9",0.166686324018034,0.0497109463703462,"medulla_early","up","enhancer",TRUE,0.891844325985264,-0.443019729948276,0.66978651208401,"KLF9"
"MA0070.1","PBX1",0.362934277436965,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.504126129843289,0.19190814414701,"PBX1"
"MA0073.1","RREB1",0.155202220877599,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,-0.232197035188481,0.618080744818636,"RREB1"
"MA0074.1","RXRA::VDR",0.291709768117801,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,-1.09932889011824,0.372016550714213,"VDR"
"MA0077.1","SOX9",0.201004287543215,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.149611239615608,0.904147284538814,"SOX9"
"MA0139.1","CTCF",0.171612587856782,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,-0.00889126866160517,0.974038165068298,"CTCF"
"MA0163.1","PLAG1",0.18322073727897,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.482897442141747,0.518320027008768,"PLAG1"
"MA0478.1","FOSL2",0.163298255269632,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,1.08455929293645,0.0618584746703685,"FOSL2"
"MA0507.1","POU2F2",0.301265525656625,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,1.55969797562014,0.0967970792705109,"POU2F2"
"MA0596.1","SREBF2",0.183912359164042,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,-0.285261787057085,0.621044028311948,"SREBF2"
"MA0136.2","ELF5",0.152855057052562,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,1.11133724421382,0.338030751654114,"ELF5"
"MA0646.1","GCM1",0.244359220528943,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,-2.39087774170395,0.118640047017021,"GCM1"
"MA0647.1","GRHL1",0.331582063770209,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.967802111767785,0.176191528060478,"GRHL1"
"MA0653.1","IRF9",0.390310434165666,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,1.10057616102454,0.0538801276677179,"IRF9"
"MA0666.1","MSX1",0.19592270029547,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.366240599475117,0.533530991924705,"MSX1"
"MA0671.1","NFIX",0.142330419935565,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.564594198114021,0.0736908808273432,"NFIX"
"MA0738.1","HIC2",0.175080284390836,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.155618142644939,0.767589809234284,"HIC2"
"MA0768.1","LEF1",0.247430519882744,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.653669264335977,0.178162077515761,"LEF1"
"MA0785.1","POU2F1",0.277344838993208,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,-0.0254606879461252,0.968977526882527,"POU2F1"
"MA0788.1","POU3F3",0.270989414396195,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,-0.303769583298376,0.459163556728696,"POU3F3"
"MA0794.1","PROX1",0.338111247292426,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.759951447180321,0.425011842612935,"PROX1"
"MA0510.2","RFX5",0.510799682886097,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.484408369218253,0.0915827651074983,"RFX5"
"MA0466.2","CEBPB",0.475977750536409,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,1.46263432073617,0.0492181571789625,"CEBPB"
"MA0838.1","CEBPG",0.40889917915261,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,-0.011597868271787,0.974038165068298,"CEBPG"
"MA0861.1","TP73",0.346543056945441,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,-1.00156108890773,0.240158335275445,"TP73"
"MA1122.1","TFDP1",0.158093156336846,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.0531149132118154,0.761992016311086,"TFDP1"
"MA0099.3","FOS::JUN",0.223689599323383,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,0.790444411147782,0.495819179428345,"FOS"
"MA1128.1","FOSL1::JUN",0.208729056982402,0.0308761649628525,"medulla_early","up","enhancer",TRUE,0.931373410084583,1.99314244351486,0.0834337048981768,"FOSL1"
