"source","term_id","term_name","p_value","term_size","query_size","intersection_size","comparison"
"KEGG","KEGG:05208","Chemical carcinogenesis - reactive oxygen species",2.53748674226044e-05,64,127,20,"err_positive_vs_repressed"
"GO:CC","GO:0098803","respiratory chain complex",4.39771262300994e-05,53,127,18,"err_positive_vs_repressed"
"KEGG","KEGG:04714","Thermogenesis",6.37882149698295e-05,67,127,20,"err_positive_vs_repressed"
"REAC","REAC:R-HSA-1428517","Aerobic respiration and respiratory electron transport",0.000136003605115038,107,127,25,"err_positive_vs_repressed"
"KEGG","KEGG:05010","Alzheimer disease",0.000250217326043329,79,127,21,"err_positive_vs_repressed"
"KEGG","KEGG:05020","Prion disease",0.000578392798113108,61,127,18,"err_positive_vs_repressed"
"KEGG","KEGG:05415","Diabetic cardiomyopathy",0.000578392798113108,61,127,18,"err_positive_vs_repressed"
"KEGG","KEGG:05012","Parkinson disease",0.000779592230708144,69,127,19,"err_positive_vs_repressed"
"GO:CC","GO:0005743","mitochondrial inner membrane",0.00131045826249035,173,127,31,"err_positive_vs_repressed"
"GO:CC","GO:0019866","organelle inner membrane",0.00151417232744185,174,127,31,"err_positive_vs_repressed"
"KEGG","KEGG:00190","Oxidative phosphorylation",0.00229978841236444,66,127,18,"err_positive_vs_repressed"
"GO:CC","GO:0005740","mitochondrial envelope",0.00263977248949533,239,127,37,"err_positive_vs_repressed"
"KEGG","KEGG:05016","Huntington disease",0.00297795356478677,67,127,18,"err_positive_vs_repressed"
"GO:BP","GO:0006119","oxidative phosphorylation",0.00383531893430093,68,127,18,"err_positive_vs_repressed"
"GO:CC","GO:0005739","mitochondrion",0.00447721770935645,481,127,57,"err_positive_vs_repressed"
"REAC","REAC:R-HSA-611105","Respiratory electron transport",0.00491381071203959,69,127,18,"err_positive_vs_repressed"
"GO:CC","GO:0031966","mitochondrial membrane",0.00767793875353674,227,127,35,"err_positive_vs_repressed"
"GO:CC","GO:0031967","organelle envelope",0.00918986219654466,272,127,39,"err_positive_vs_repressed"
"GO:BP","GO:0009060","aerobic respiration",0.00979797521661575,104,127,22,"err_positive_vs_repressed"
"GO:BP","GO:0045333","cellular respiration",0.0105431107831059,113,127,23,"err_positive_vs_repressed"
"GO:BP","GO:0042775","mitochondrial ATP synthesis coupled electron transport",0.0136012021201138,45,127,14,"err_positive_vs_repressed"
"GO:BP","GO:0042773","ATP synthesis coupled electron transport",0.0136012021201138,45,127,14,"err_positive_vs_repressed"
"GO:BP","GO:0046390","ribose phosphate biosynthetic process",0.0141923391307522,66,127,17,"err_positive_vs_repressed"
"GO:BP","GO:0009260","ribonucleotide biosynthetic process",0.0141923391307522,66,127,17,"err_positive_vs_repressed"
"GO:BP","GO:0022904","respiratory electron transport chain",0.0150751305777567,52,127,15,"err_positive_vs_repressed"
"KEGG","KEGG:04932","Non-alcoholic fatty liver disease",0.0185046674466717,46,127,14,"err_positive_vs_repressed"
"GO:BP","GO:0022900","electron transport chain",0.0199015763859355,53,127,15,"err_positive_vs_repressed"
"KEGG","KEGG:05014","Amyotrophic lateral sclerosis",0.0243889698847039,76,127,18,"err_positive_vs_repressed"
"KEGG","KEGG:05022","Pathways of neurodegeneration - multiple diseases",0.0365405094846433,86,127,19,"err_positive_vs_repressed"
