"gene_symbol","err_positive","control_positive","log_fc","fdr","ave_expr"
"A1CF",FALSE,FALSE,-2.61743681386224,0.0190422843468339,3.65520346212486
"A3GALT2",FALSE,FALSE,-1.15279113741031,0.0176440277954877,2.72499625792034
"AADAT",FALSE,FALSE,-1.70330395288903,0.027038629615795,5.46899179226549
"AAMDC",FALSE,FALSE,-0.803031144227678,0.0104366910418396,4.07967367582105
"AARS2",FALSE,FALSE,-0.384227947473708,0.0485217061500087,5.09726529759549
"AASS",FALSE,FALSE,-1.82530194550841,0.0180746911252859,5.10744071619946
"AATK",FALSE,FALSE,-1.05438464627585,0.0243050336404779,5.7845391222175
"ABAT",FALSE,FALSE,-1.85937312209856,0.0189080719492132,9.64380564667939
"ABCA4",FALSE,FALSE,-0.886391746522621,0.084502835457179,2.71477153139098
"ABCB7",FALSE,FALSE,-0.722856747770014,0.0582276784422353,5.21580483662862
"ABCC2",FALSE,FALSE,-1.44128980217014,0.0330913390502488,3.13692922281195
"ABCC6",FALSE,FALSE,-0.847925304388474,0.0266397809229116,4.29944248734783
"ABHD14B",FALSE,FALSE,-1.0043597041874,0.0190422843468339,7.67699788050681
"ABHD15",FALSE,TRUE,-1.15261086579354,0.0171754208363522,4.24644561781141
"ABHD3",FALSE,FALSE,-0.972366082480215,0.0252731605573168,3.82818881940004
"ABLIM2",FALSE,FALSE,-0.63725370091508,0.044364011821819,5.02179723346565
"ACAA1",TRUE,FALSE,-0.860940188664899,0.0458565473021771,6.90769455764879
"ACAD11",FALSE,FALSE,-1.0268136350352,0.0468198697288515,5.06326430837546
"ACAD8",FALSE,FALSE,-0.879946011032668,0.00984939357205143,5.77570242766701
"ACAD9",FALSE,FALSE,-1.05976673662867,0.0509362817545988,8.44294259020262
"ACADM",FALSE,FALSE,-1.60116628499756,0.0235300239717451,9.36213314796579
"ACADS",FALSE,FALSE,-0.672942045492118,0.0522644405785031,5.95710611721479
"ACADSB",TRUE,FALSE,-1.7136827289375,0.0264405338069713,7.44220293668972
"ACADVL",FALSE,FALSE,-1.00591895138317,0.073540815190526,9.84204397933491
"ACAT1",FALSE,FALSE,-1.2171295994973,0.0226473094499226,8.78845476514053
"ACE",FALSE,FALSE,-2.01638132944844,0.0115496711006805,6.63446952428848
"ACMSD",FALSE,FALSE,-1.67268742205787,0.0549927917360388,7.10574266999751
"ACO1",FALSE,FALSE,-1.14364680133225,0.0146662051528279,7.65587339600908
"ACOX1",FALSE,FALSE,-0.439011713857066,0.0885535602964527,6.91150348374783
"ACOX3",FALSE,FALSE,-1.36423308754149,0.0355002812858475,9.39866613655444
"ACP1",FALSE,FALSE,-0.805435219600896,0.0120505142140128,6.2735257827127
"ACSL3",FALSE,FALSE,-0.444325879889697,0.0965581010157481,5.97708572460962
"ACSM3",FALSE,FALSE,-2.62252743411418,0.00792870813535212,6.13762383577547
"ACSM5",FALSE,FALSE,-1.02243815692189,0.0517385400376305,4.92104146087098
"ACSS2",FALSE,FALSE,-0.48233874298164,0.00981315702321784,6.54541941211261
"ACVR2B",FALSE,FALSE,-0.7312095225662,0.0658247811547568,3.59658125773871
"ADA",FALSE,FALSE,-1.20997514181729,0.0157627565836766,5.13801828544037
"ADAMTS15",FALSE,FALSE,-0.873151668365336,0.079822074045165,4.42680765207401
"ADAMTS18",FALSE,FALSE,-1.44795937152281,0.0616228848321005,2.29854358584228
"ADAP2",FALSE,TRUE,-1.1515618593713,0.0166910362486538,4.11739713386285
"ADCYAP1R1",FALSE,FALSE,-0.992553545234968,0.0983833366041225,3.48379879771858
"ADD3",FALSE,FALSE,-0.55432034047604,0.0800966819272752,6.88455454499503
"ADGRA3",FALSE,FALSE,-0.695379988815751,0.0699718596112652,6.89028915020135
"ADGRF5",FALSE,FALSE,-0.449704093792759,0.0980179806790712,6.67150576307851
"ADGRV1",FALSE,FALSE,-1.9191184268273,0.0338816138694026,3.50923001052222
"ADH4",FALSE,FALSE,-3.20222725796047,0.00930491483550613,0.21787881878615
"ADHFE1",FALSE,FALSE,-2.6073600295635,0.0122334468276326,3.76396596900615
"ADI1",FALSE,FALSE,-0.827958499574582,0.00734567043229686,7.3615752574027
"ADK",FALSE,FALSE,-1.04068329941773,0.0999603578901334,6.80829561227125
"ADRA2B",FALSE,FALSE,-1.01357709055205,0.0685014984048952,3.4739726375979
"ADSS1",FALSE,FALSE,-1.59510523823036,0.0063247569769738,2.12186710203054
"AFG3L2",FALSE,FALSE,-0.615873707933641,0.0510179150674097,6.64238842764733
"AFTPH",FALSE,FALSE,-0.638114100532033,0.0177339213145289,5.78133165444449
"AGA",FALSE,FALSE,-0.63921251462039,0.00413734877776558,6.34094813538715
"AGBL3",FALSE,TRUE,-0.886306157593602,0.096080729646045,1.1155820747206
"AGL",FALSE,TRUE,-0.848762588289258,0.0392289878980717,4.71532464902466
"AGPAT3",FALSE,FALSE,-0.783296512169338,0.0343879337492427,6.25782484964359
"AGPAT5",FALSE,FALSE,-1.06243765735752,0.0513422727172345,6.80779796674641
"AGPS",FALSE,FALSE,-1.37182068722261,0.0271798060583953,7.45567168697751
"AHCY",FALSE,TRUE,-1.08043804669002,0.0281727107114343,7.25664927574451
"AIF1L",FALSE,TRUE,-1.07599184843498,0.00389864211258081,8.48294069127013
"AIFM1",FALSE,FALSE,-1.46999502520368,0.0193624541871916,7.20282994551425
"AIFM3",FALSE,FALSE,-1.23456085522084,0.0119909016901718,2.00293481591112
"AK4",FALSE,FALSE,-1.61290561590808,0.0298115376851147,7.49998791458568
"AK5",FALSE,TRUE,-1.53372724020895,0.011073244496898,2.87495638462092
"AKAIN1",FALSE,FALSE,-1.03961901039758,0.0859945078268029,0.62668501179992
"AKAP10",FALSE,FALSE,-0.216508808352647,0.0811811906543656,4.49264458335018
"AKAP9",FALSE,FALSE,-0.434427052367686,0.0558039684996478,6.10260542943193
"AKIRIN1",FALSE,FALSE,-0.410196380859757,0.0946932001076859,5.15097896989276
"AKR1A1",TRUE,FALSE,-1.08247413163715,0.0291525943582073,7.46287177837541
"ALDH16A1",FALSE,FALSE,-0.897019392013074,0.00389864211258081,5.98264674886426
"ALDH2",FALSE,TRUE,-1.34824928577794,0.0128853588924167,8.73801579759813
"ALDH3A2",FALSE,TRUE,-0.702609942971004,0.044039289526614,7.17984280557707
"ALDH4A1",FALSE,FALSE,-1.72642524048511,0.0306240350996879,9.16981038764695
"ALDH5A1",FALSE,FALSE,-1.12366611515077,0.0222320573942293,6.95115121176199
"ALDH6A1",FALSE,FALSE,-1.49381584483534,0.026701431479374,8.02691920045849
"ALDH7A1",FALSE,FALSE,-1.196572987427,0.0331266761161764,7.78113438782304
"ALDH8A1",TRUE,FALSE,-1.4529683680511,0.0598409385985254,7.88813724470162
"ALDH9A1",FALSE,FALSE,-1.13654300625572,0.00389864211258081,7.71083651157909
"ALDOB",FALSE,FALSE,-1.48255431806097,0.0732054477886637,11.1432196758734
"ALKBH8",FALSE,FALSE,-0.372709106961609,0.0760383510290673,4.70016078255711
"ALPK2",FALSE,FALSE,-0.707209291053022,0.0808648942745044,3.53339950794264
"ALPL",FALSE,FALSE,-1.91702642244906,0.0378967924067861,7.70522595280679
"ALS2",FALSE,FALSE,-0.498962079286327,0.0372006746180314,5.80576773852682
"AMACR",FALSE,FALSE,-2.01245280377207,0.0259173793524279,7.04751616460092
"AMDHD1",FALSE,FALSE,-1.02942567154131,0.0606443785870878,4.19559582531499
"AMDHD2",FALSE,FALSE,-1.15583280146014,0.0225880234620523,6.19926621028347
"AMIGO1",FALSE,FALSE,-0.620906416071639,0.0290208480481663,3.48786629739593
"AMN",FALSE,FALSE,-1.32905088447212,0.0469134038267134,8.89265927138247
"AMT",FALSE,FALSE,-1.73608496077828,0.00392533768056333,5.37506006590938
"ANAPC15",FALSE,TRUE,-0.392994394013611,0.0642598799813042,5.36494678848111
"ANGPT1",FALSE,FALSE,-0.829415666067461,0.0441378556651392,3.13133156431778
"ANK3",FALSE,TRUE,-1.02898281327268,0.052392427791227,7.28120565438414
"ANKMY2",FALSE,TRUE,-0.661877415324275,0.0052288053732679,5.17256790149076
"ANKRD27",FALSE,TRUE,-0.196115568824898,0.0845761125399453,5.28621448412957
"ANKRD53",FALSE,FALSE,-1.18155722519396,0.0208959076048297,5.20887834564836
"ANKS1A",FALSE,FALSE,-0.466740488036302,0.0815368805242861,7.19860363472987
