"gene_symbol","log_fc","fdr","mean_tissues","frac_kidney_specific","mean_fold_change","n_enhancers","state"
"A1CF",-2.61335182519171,0.0230328000925289,2.25,0,3.178,4,"repressed"
"A2ML1",1.71958492987517,0.0534530134571319,1.5,0.5,2.739,2,"induced"
"A3GALT2",-1.14735578646961,0.0215812549216285,1.5,0.5,3.033,2,"repressed"
"A4GALT",1.78225751957665,0.00284687230696171,4.333,0,5.064,6,"induced"
"AACS",-0.095382319800966,0.676323890840235,7,0,10.908,2,"unchanged"
"AAMP",-0.080071805988446,0.520345335176401,5,0,3.072,1,"unchanged"
"AARS1",0.0612559740557028,0.61819435540602,7,0,23.05,1,"unchanged"
"AARS2",-0.397052018646559,0.0363735171227359,5,0,5.744,1,"repressed"
"AASDH",-0.0476643557919503,0.820304064071255,7,0,13.725,1,"unchanged"
"AATF",-0.1247747710769,0.434213284300165,3,0,9.887,1,"unchanged"
"ABCA1",0.932892083562872,0.0446001367314445,3.5,0.167,3.825,6,"induced"
"ABCA10",2.94803595594549,0.028855371788733,2,0,3.221,1,"induced"
"ABCA4",-0.902471560073341,0.0841570895634359,1.786,0.571,3.633,28,"repressed"
"ABCA6",1.75168382307171,0.0151625194225453,2,0,3.221,1,"induced"
"ABCA8",2.17550566347681,0.00753105946404048,4.333,0,3.465,3,"induced"
"ABCA9",1.13279921264968,0.0229612076451146,2,0,3.221,1,"induced"
"ABCB8",0.169006937138038,0.302169937050678,6,0,5.393,1,"unchanged"
"ABCB9",-0.0836601313481977,0.760075983168383,7,0,7.481,1,"unchanged"
"ABCC2",-1.44923649999904,0.0375728394643895,2,0.667,3.323,3,"repressed"
"ABCC5",0.376051319442972,0.191977435761745,7,0,8.178,1,"unchanged"
"ABCD3",-0.760312232277019,0.134456252945222,3.909,0,4.175,11,"unchanged"
"ABCE1",0.102801258864171,0.715590431726879,1,1,3.834,1,"unchanged"
"ABCF2",0.207189380738313,0.146470110115774,4,0,9.653,3,"unchanged"
"ABCG2",0.697539980135359,0.18734133886709,2.5,0,5.138,2,"unchanged"
"ABHD1",1.37753750602899,0.233377355223283,4.333,0,3.529,3,"unchanged"
"ABHD10",0.189968588619376,0.361622951727697,6,0,5.874,1,"unchanged"
"ABHD12",-0.0326025859189238,0.882186578414109,7,0,6.856,1,"unchanged"
"ABHD15",-1.14041072858905,0.0207945221023943,1.75,0.75,4.176,8,"repressed"
"ABHD17C",-0.11264427887726,0.572248508890747,3,0,4.443,3,"unchanged"
"ABHD2",-0.102962979574189,0.844801566125801,4,0.071,4.746,14,"unchanged"
"ABHD4",0.497405867531893,0.0926253651952904,5,0,3.745,1,"induced"
