Supplementary Table S1. Stability of all candidate coexpression modules under subsampling, both compartments.

compartment	direction	module	n genes	mean jaccard	sd jaccard	retained
Cortex	Repressed	 1	798	0.591	0.096	FALSE
Cortex	Induced	 2	344	0.559	0.103	FALSE
Cortex	Induced	 8	110	0.450	0.112	FALSE
Cortex	Repressed	 4	135	0.448	0.128	FALSE
Cortex	Induced	17	 50	0.407	0.160	FALSE
Cortex	Induced	 1	354	0.390	0.104	FALSE
Cortex	Induced	16	 61	0.388	0.124	FALSE
Cortex	Repressed	 9	 80	0.372	0.079	FALSE
Cortex	Induced	 7	133	0.332	0.075	FALSE
Cortex	Repressed	 2	266	0.331	0.081	FALSE
Cortex	Induced	 3	344	0.323	0.066	FALSE
Cortex	Induced	 5	175	0.317	0.082	FALSE
Cortex	Induced	 4	275	0.316	0.093	FALSE
Cortex	Repressed	10	 79	0.298	0.073	FALSE
Cortex	Induced	11	 81	0.291	0.098	FALSE
Cortex	Repressed	 3	146	0.284	0.084	FALSE
Cortex	Repressed	11	 78	0.235	0.074	FALSE
Cortex	Repressed	 6	115	0.233	0.063	FALSE
Cortex	Induced	15	 63	0.224	0.069	FALSE
Cortex	Repressed	 7	113	0.223	0.075	FALSE
Cortex	Repressed	 8	 81	0.220	0.063	FALSE
Cortex	Repressed	14	 49	0.200	0.084	FALSE
Cortex	Induced	14	 71	0.197	0.069	FALSE
Cortex	Induced	 9	106	0.192	0.061	FALSE
Cortex	Induced	 6	141	0.191	0.049	FALSE
Cortex	Induced	12	 79	0.180	0.077	FALSE
Cortex	Induced	10	 99	0.163	0.064	FALSE
Cortex	Repressed	13	 53	0.163	0.068	FALSE
Cortex	Repressed	12	 61	0.161	0.057	FALSE
Cortex	Induced	13	 73	0.159	0.064	FALSE
Cortex	Repressed	 5	124	0.146	0.041	FALSE
Cortex	Induced	18	 33	0.134	0.071	FALSE
Medulla	Induced	 1	197	0.519	0.085	FALSE
Medulla	Repressed	 1	332	0.455	0.092	FALSE
Medulla	Repressed	 2	226	0.377	0.095	FALSE
Medulla	Repressed	 6	110	0.365	0.103	FALSE
Medulla	Repressed	13	 50	0.336	0.111	FALSE
Medulla	Induced	 6	105	0.311	0.087	FALSE
Medulla	Repressed	 7	106	0.311	0.094	FALSE
Medulla	Induced	 7	 99	0.303	0.099	FALSE
Medulla	Induced	 8	 93	0.303	0.086	FALSE
Medulla	Repressed	 9	 92	0.302	0.084	FALSE
Medulla	Repressed	 3	121	0.300	0.100	FALSE
Medulla	Induced	14	 53	0.291	0.109	FALSE
Medulla	Induced	11	 75	0.273	0.092	FALSE
Medulla	Repressed	 8	 97	0.271	0.090	FALSE
Medulla	Induced	 5	106	0.257	0.074	FALSE
Medulla	Repressed	16	 32	0.256	0.098	FALSE
Medulla	Induced	 4	116	0.250	0.067	FALSE
Medulla	Induced	12	 58	0.249	0.063	FALSE
Medulla	Induced	17	 42	0.248	0.067	FALSE
Medulla	Repressed	 4	118	0.247	0.093	FALSE
Medulla	Induced	 9	 91	0.241	0.071	FALSE
Medulla	Induced	13	 56	0.237	0.079	FALSE
Medulla	Repressed	12	 53	0.229	0.098	FALSE
Medulla	Induced	 3	123	0.228	0.074	FALSE
Medulla	Induced	19	 37	0.227	0.087	FALSE
Medulla	Repressed	11	 76	0.223	0.083	FALSE
Medulla	Induced	18	 38	0.214	0.101	FALSE
Medulla	Repressed	17	 30	0.212	0.130	FALSE
Medulla	Induced	20	 30	0.211	0.086	FALSE
Medulla	Induced	16	 44	0.208	0.111	FALSE
Medulla	Induced	 2	159	0.200	0.054	FALSE
Medulla	Repressed	 5	113	0.185	0.066	FALSE
Medulla	Induced	10	 81	0.180	0.053	FALSE
Medulla	Repressed	15	 41	0.173	0.087	FALSE
Medulla	Induced	15	 51	0.155	0.057	FALSE
Medulla	Repressed	10	 77	0.154	0.060	FALSE
Medulla	Repressed	14	 43	0.129	0.074	FALSE
