"direction","n genes","var explained","marker set","rho","p value","fdr","compartment"
"Induced",2592,0.608,"Epithelial",-0.932,4.92e-06,5.09e-06,"Cortex"
"Induced",2592,0.608,"Immune",0.896,2.76e-06,5.09e-06,"Cortex"
"Induced",2592,0.608,"Fibroblast",0.936,5.02e-06,5.09e-06,"Cortex"
"Repressed",2178,0.575,"Epithelial",0.94,5.09e-06,5.09e-06,"Cortex"
"Repressed",2178,0.575,"Immune",-0.842,0,0,"Cortex"
"Repressed",2178,0.575,"Fibroblast",-0.923,4.59e-06,5.09e-06,"Cortex"
"Induced",1654,0.557,"Epithelial",-0.422,0.082,0.124,"Medulla"
"Induced",1654,0.557,"Immune",0.841,0,0,"Medulla"
"Induced",1654,0.557,"Fibroblast",0.61,0.008,0.017,"Medulla"
"Repressed",1717,0.646,"Epithelial",0.187,0.456,0.456,"Medulla"
"Repressed",1717,0.646,"Immune",-0.616,0.008,0.017,"Medulla"
"Repressed",1717,0.646,"Fibroblast",-0.333,0.176,0.211,"Medulla"
