"gene_symbol","log_fc_with_age","fdr_with_age","log_fc_without_age","fdr_without_age"
"A1CF",-2.61335182519171,0.0230328000925288,-2.61743681386224,0.0190422843468337
"A2M",1.42372359679005,0.0330569629809656,1.44596683397288,0.0287366651956211
"A2ML1",1.71958492987517,0.0534530134571322,1.70579447776003,0.0487910529484268
"A3GALT2",-1.14735578646961,0.021581254921629,-1.1527911374103,0.0176440277954881
"A4GALT",1.78225751957665,0.00284687230696172,1.77093957554966,0.0018615579417609
"AAAS",0.267140604061355,0.209077122842601,0.277705117884665,0.200047826546152
"AACS",-0.0953823198009633,0.676323890840249,-0.0926701745410199,0.682288862647092
"AADAT",-1.69486120417818,0.0324920719319305,-1.70330395288903,0.0270386296157953
"AAGAB",-0.0440360805984366,0.768072588525845,-0.0488974833309337,0.745357775597093
"AAK1",-0.256643931525181,0.396933441579359,-0.291945753651113,0.418199062655444
"AAMDC",-0.816057027574467,0.0105383275414173,-0.803031144227676,0.0104366910418398
"AAMP",-0.0800718059884433,0.520345335176417,-0.0677733979004786,0.647045467968157
"AAR2",-0.0740290021451804,0.598356845817861,-0.0747983466684268,0.593058528034048
"AARS1",0.0612559740557019,0.618194355406028,0.0568045315343406,0.654327664995849
"AARS2",-0.397052018646558,0.0363735171227362,-0.384227947473707,0.0485217061500091
"AASDH",-0.0476643557919507,0.820304064071254,-0.0469332482362654,0.82145994738199
"AASDHPPT",-0.288486512313377,0.128571371014943,-0.29100667051093,0.118152715639038
"AASS",-1.80257549770054,0.021631068081383,-1.82530194550841,0.018074691125286
"AATF",-0.124774771076899,0.434213284300167,-0.119423112960805,0.459135421366107
"AATK",-1.04704330957407,0.0290177312215247,-1.05438464627585,0.0243050336404779
"ABAT",-1.82826251360944,0.0215293478959207,-1.85937312209856,0.0189080719492133
"ABCA1",0.932892083562872,0.044600136731444,0.904420596172876,0.0544323305326002
"ABCA10",2.94803595594549,0.0288553717887334,2.99475810983637,0.0249724861847078
"ABCA13",-1.27176720575307,0.2596368586314,-1.31348977866165,0.240824206958136
"ABCA2",0.185603284929621,0.451420974360201,0.190691028709455,0.432255558111257
"ABCA3",-0.443576197955432,0.410066984289639,-0.462783919080366,0.388159045529892
"ABCA4",-0.902471560073339,0.0841570895634345,-0.886391746522619,0.0845028354571801
"ABCA5",0.622016284832081,0.115048995615466,0.610936582595628,0.115918541992016
"ABCA6",1.75168382307171,0.0151625194225454,1.74578220414859,0.0123093555630741
"ABCA8",2.17550566347681,0.00753105946404048,2.17337530436631,0.00585235091534768
"ABCA9",1.13279921264967,0.0229612076451148,1.12842675633024,0.0197353404405103
"ABCB1",0.822592929175411,0.226334744984388,0.815423351506083,0.217892483556369
"ABCB10",-0.157215435180046,0.27127012620109,-0.152636311973486,0.288127645947473
"ABCB6",-0.465044688499388,0.165187431280595,-0.474657111162461,0.15113675598339
"ABCB7",-0.696183930685368,0.0547298863035195,-0.722856747770013,0.0582276784422364
"ABCB8",0.169006937138039,0.302169937050673,0.165695850426222,0.307133441034622
"ABCB9",-0.0836601313481977,0.760075983168383,-0.0819527916723044,0.760988904802316
"ABCC1",0.081382928324004,0.772297950860811,0.0675796779530495,0.817784117484361
"ABCC10",-0.0185866965634318,0.952675365204921,-0.00803240977601005,0.979446910032652
"ABCC11",1.20755258337166,0.311640837988935,1.13415213964922,0.362946874350441
"ABCC2",-1.44923649999904,0.03757283946439,-1.44128980217014,0.0330913390502491
"ABCC4",0.174965739498386,0.672463337164567,0.151259385421359,0.729829011347183
"ABCC5",0.376051319442972,0.191977435761745,0.381567534092679,0.176845332174145
"ABCC6",-0.835922665098416,0.0307173588380015,-0.847925304388474,0.0266397809229115
"ABCC9",-0.238794528508544,0.663615753155345,-0.220503223953114,0.68940636575857
"ABCD1",-0.471001239556509,0.126380322589459,-0.477200197295907,0.11403463969401
"ABCD3",-0.76031223227702,0.13445625294522,-0.807426041468864,0.149033565108379
"ABCD4",-0.133020358391525,0.391660668844274,-0.136068704038801,0.376026084191672
"ABCE1",0.10280125886417,0.715590431726872,0.0843217702734291,0.781407908594544
"ABCF1",0.13094870607218,0.39247328260573,0.139800938268245,0.379821031415152
"ABCF2",0.207189380738314,0.146470110115766,0.208998707572569,0.137056556403377
"ABCF3",-0.0909138577646376,0.499305149770653,-0.0863136628641792,0.529215131889597
"ABCG1",1.94143963540769,0.0197929391485239,1.96146787244351,0.0162874237585393
"ABCG2",0.69753998013536,0.187341338867089,0.698469443982518,0.174543363310871
"ABCG4",0.788038455251653,0.172394572821352,0.791341709867864,0.159662939852797
"ABHD1",1.377537506029,0.233377355223282,1.28654561128089,0.30129707121289
"ABHD10",0.189968588619375,0.3616229517277,0.175038083887551,0.435661528722977
"ABHD11",-0.38054623751905,0.153673231831831,-0.384807549071366,0.140296591556305
"ABHD12",-0.032602585918923,0.882186578414114,-0.0173004431324317,0.944637953316972
"ABHD13",-0.0632556518520908,0.826079608795399,-0.0809285846270318,0.788622789752134
"ABHD14B",-1.00183586166426,0.0229511832969479,-1.0043597041874,0.0190422843468337
"ABHD15",-1.14041072858905,0.020794522102394,-1.15261086579354,0.0171754208363524
"ABHD16A",-0.132906243916375,0.218712167574702,-0.125668079480991,0.275182407280917
"ABHD17A",-0.197937208614166,0.176322930565941,-0.18084174783111,0.299875138346109
"ABHD17B",-0.138261880746094,0.418394773349993,-0.147580179008357,0.404576420304284
"ABHD17C",-0.112644278877259,0.572248508890745,-0.129940621263824,0.557028965818093
"ABHD18",-0.0709380164845212,0.773631594652983,-0.0905334942949301,0.738784831432735
"ABHD2",-0.102962979574188,0.844801566125804,-0.137316860847348,0.804818756804205
"ABHD3",-0.950689354999777,0.0270242320438949,-0.972366082480216,0.0252731605573168
"ABHD4",0.497405867531892,0.0926253651952913,0.511231007180967,0.0868083106419319
"ABHD5",-0.15926849478636,0.876522331726762,-0.206294962002593,0.841979305003279
"ABHD6",-0.376874637531881,0.275169973300258,-0.372693323830571,0.270031150728445
"ABHD8",0.560640878341609,0.168396447240584,0.562053582468294,0.155677698888635
"ABI1",0.075281169390311,0.671117837397606,0.0677522787755267,0.712229595597565
"ABI2",-0.192748649462045,0.504427780021243,-0.187488520613799,0.511202649669714
"ABI3",1.26875513716474,0.0404080464256387,1.30041921767859,0.0376147059413504
"ABI3BP",0.376461835429381,0.52797149553752,0.36983871224394,0.52685041189134
"ABITRAM",-0.126634147451758,0.521063609118554,-0.125209284122869,0.519945399417099
"ABL1",0.312194098005921,0.0613290208551802,0.317208731423049,0.0560360997533551
"ABL2",-0.0664196837566866,0.804872949832911,-0.0975112768305237,0.765625618108989
"ABLIM1",-0.136648686575899,0.471780540293531,-0.143787363734768,0.4541093333365
"ABLIM2",-0.656291411918881,0.0360363765672943,-0.637253700915082,0.0443640118218182
"ABLIM3",0.317642389496092,0.27648963303147,0.285654725935861,0.408545044032401
"ABR",0.0993322325425456,0.770809120263431,0.10599955063353,0.753196109482471
"ABRACL",-0.44075296294259,0.217390846032809,-0.43901914963061,0.206947311508287
"ABRAXAS1",0.10760690610421,0.646581788572507,0.0977529675233897,0.68461200606739
"ABRAXAS2",-0.0125785670273539,0.940360882411271,-0.01748596903448,0.915400092685724
"ABT1",-0.090463737337739,0.617162027725167,-0.0825264030778303,0.659249639433431
"ABTB1",-0.0360703724803866,0.905839175785149,-0.0295998995541513,0.923259738581564
"ABTB2",-0.287282270219841,0.423304243936898,-0.297373686257132,0.401545650038145
"ACAA1",-0.861841000315893,0.0521647255773331,-0.860940188664901,0.0458565473021771
"ACAA2",-0.418871516091959,0.511638311403939,-0.453359636611809,0.488032001781011
"ACACA",-0.213504245733839,0.718943235334176,-0.227607899604069,0.698680520367801
"ACACB",-0.327096306852267,0.755522033109877,-0.325850509665331,0.750572157596252
"ACAD10",-0.360368396725312,0.449409488304228,-0.394953077727929,0.434513537207373
"ACAD11",-0.994126746655278,0.0464221673467312,-1.02681363503519,0.0468198697288504
"ACAD8",-0.864847324875545,0.0110098402126771,-0.879946011032668,0.00984939357205157
"ACAD9",-1.0519985695546,0.0588668688694412,-1.05976673662867,0.0509362817545988
"ACADL",0.995292762737704,0.0529748577203765,0.963449842270891,0.065861811926701
"ACADM",-1.57173138336095,0.0263466071902249,-1.60116628499756,0.0235300239717454
"ACADS",-0.665627236035924,0.0599080174366422,-0.672942045492118,0.0522644405785039
"ACADSB",-1.68109008806258,0.0294595364100659,-1.7136827289375,0.0264405338069715
"ACADVL",-0.987385747737598,0.0820851301893826,-1.00591895138317,0.0735408151905263
"ACAP1",0.635864664600411,0.26396783455615,0.681707911350752,0.265071411692857
"ACAP2",0.0487277446582537,0.866336057285283,0.0283578560452895,0.93020201348749
"ACAP3",0.0494502939518027,0.859018677952191,0.0720814225388615,0.814131094507359
"ACAT1",-1.20493617426266,0.0267318226805117,-1.2171295994973,0.0226473094499225
"ACAT2",-0.17082491375893,0.735023979413205,-0.189267501380152,0.709121525894703
