"gene_symbol","log_fc_with_age","fdr_with_age","log_fc_without_age","fdr_without_age"
"A1CF",-3.82317465062945,0.0420914673291312,-3.58312921393954,0.104252829176874
"A2M",1.07078711161367,0.1752283811682,0.939254385601267,0.344862909003389
"A2ML1",0.234069523211693,0.697118494545636,0.159258221120545,0.836678634728916
"A3GALT2",0.0719706367111383,0.926021265927416,0.0830151881264225,0.918232864861891
"A4GALT",0.515836452719118,0.351953715023057,0.561899388247852,0.350237183201238
"AAAS",0.0972162848485061,0.597257822144631,0.0899002372610029,0.649144803117049
"AACS",-0.137136293769134,0.634955411162119,-0.136769842286956,0.646628346546765
"AADAT",-2.67772839431234,0.0483543119623233,-2.57616265971281,0.0882772567302127
"AAGAB",-0.0939038235078238,0.646852173747978,-0.0732822435148721,0.766576440845877
"AAK1",-0.56137394763454,0.396566185668032,-0.487919144652705,0.527080612153387
"AAMDC",-0.477637328279952,0.27600113878827,-0.501257528885367,0.281084449617778
"AAMP",-0.0909400590744669,0.721162186054989,-0.109434301259735,0.693644957053304
"AAR2",-0.0228239298876423,0.934660154803582,-0.0126800901002291,0.968012436792504
"AARS1",0.0214497280484069,0.936771006418855,0.0358722802365739,0.90186645110012
"AARS2",-0.228527738808106,0.311064107021978,-0.233259822468367,0.318275393444918
"AASDH",0.031277966168032,0.934548219171286,0.0240402099377288,0.952930595777633
"AASDHPPT",-0.554463552111123,0.0172719462871499,-0.530587831625905,0.0557004201440338
"AASS",-1.3193687094246,0.0250788046127803,-1.29670651883658,0.0566959155204945
"AATF",0.0200168465420223,0.948485423879612,0.00853519682818504,0.979717543770855
"AATK",-1.57126263326699,0.0185040682080627,-1.45583675123453,0.0798377766031514
"ABAT",-1.75216547225925,0.0134950986177876,-1.68089466601566,0.0466599563558035
"ABCA1",0.691356994910298,0.504044454602981,0.662780357828966,0.539711904979591
"ABCA10",1.04263819230625,0.396566185668032,1.08661894085921,0.393435046382425
"ABCA2",-0.101028867629072,0.749190900558835,-0.107274222224478,0.745068219998257
"ABCA3",-1.66532775852322,0.0310114814551879,-1.55199212272046,0.0944278453286059
"ABCA4",-0.176210533478206,0.757253484320393,-0.177119491664552,0.766151480183331
"ABCA5",0.563277105299524,0.331669053024183,0.578299274250309,0.333797477589872
