"cat_id","cortex","medulla","both"
"Cat_01",TRUE,TRUE,TRUE
"Cat_02",TRUE,TRUE,TRUE
"Cat_03",TRUE,TRUE,TRUE
"Cat_04",TRUE,TRUE,TRUE
"Cat_05",TRUE,TRUE,TRUE
"Cat_06",TRUE,TRUE,TRUE
"Cat_07",TRUE,TRUE,TRUE
"Cat_08",FALSE,TRUE,FALSE
"Cat_09",TRUE,FALSE,FALSE
"Cat_10",TRUE,TRUE,TRUE
"Cat_11",TRUE,TRUE,TRUE
"Cat_12",TRUE,FALSE,FALSE
"Cat_14",TRUE,TRUE,TRUE
"Cat_15",TRUE,TRUE,TRUE
"Cat_16",TRUE,TRUE,TRUE
"Cat_17",TRUE,TRUE,TRUE
"Cat_18",TRUE,TRUE,TRUE
"Cat_19",TRUE,FALSE,FALSE
"Cat_20",TRUE,TRUE,TRUE
"Cat_21",TRUE,FALSE,FALSE
"Cat_22",TRUE,TRUE,TRUE
"Cat_23",TRUE,TRUE,TRUE
