"gene_symbol","gene_biotype","seqnames","start","end","strand","domain_start","domain_end","domain_width","promoter_h3k4me3","domain_h3k4me3","promoter_h3k27ac","domain_h3k27ac","promoter_ctcf","domain_ctcf","distal_h3k27ac","regulatory_class"
"LOC102899061","lncRNA","NC_058368.1",93259,98280,"+",93119,99770,6652,1,1,0,0,1,2,0,"primed_promoter"
"LOC101090826","protein_coding","NC_058368.1",102583,116105,"+",99770,105059,5290,0,0,0,0,0,2,0,"no_active_mark"
"TRNAE-UUC","tRNA","NC_058368.1",171109,171180,"-",159396,175681,16286,0,1,1,2,0,2,1,"distal_enhancer_only"
"CCDC115","protein_coding","NC_058368.1",171754,176194,"-",175681,184043,8363,1,1,1,1,1,2,0,"active_promoter"
"IMP4","protein_coding","NC_058368.1",176213,181164,"+",175681,184043,8363,1,1,1,1,1,2,0,"active_promoter"
"LOC102899369","protein_coding","NC_058368.1",191774,325325,"+",184043,192247,8205,1,1,1,1,1,2,0,"active_promoter"
"PTPN18","protein_coding","NC_058368.1",206243,215315,"+",205753,228138,22386,1,1,1,1,1,2,0,"active_promoter"
"LOC109493243","lncRNA","NC_058368.1",277758,279192,"-",275545,330029,54485,0,0,0,0,0,2,0,"no_active_mark"
"ATP12A","protein_coding","NC_058368.1",399086,427856,"+",399061,401859,2799,1,1,1,1,1,2,0,"active_promoter"
"RNF17","protein_coding","NC_058368.1",462148,577604,"+",442700,639088,196389,0,1,0,1,0,2,1,"distal_enhancer_only"
"CENPJ","protein_coding","NC_058368.1",577315,641577,"-",639088,646708,7621,0,3,0,4,0,2,4,"distal_enhancer_only"
"PARP4","protein_coding","NC_058368.1",639255,762393,"+",639088,646708,7621,1,3,2,4,1,2,2,"active_promoter"
"MPHOSPH8","protein_coding","NC_058368.1",767205,822072,"+",767048,776761,9714,1,1,1,1,1,2,0,"active_promoter"
"PSPC1","protein_coding","NC_058368.1",817193,926304,"-",925902,979476,53575,1,2,1,2,1,2,1,"active_promoter"
"ZMYM5","protein_coding","NC_058368.1",947440,980743,"-",980336,982061,1726,2,2,2,2,2,2,0,"active_promoter"
"ZMYM2","protein_coding","NC_058368.1",1082683,1152066,"+",1052532,1156226,103695,0,1,0,1,0,2,1,"distal_enhancer_only"
"LOC123380274","lncRNA","NC_058368.1",1159049,1161588,"-",1156226,1163449,7224,0,0,0,0,1,2,0,"no_active_mark"
"LOC111558556","protein_coding","NC_058368.1",1164049,1169408,"+",1163449,1166962,3514,0,1,0,0,1,2,0,"no_active_mark"
"GJA3","protein_coding","NC_058368.1",1201574,1220333,"-",1166962,1223124,56163,1,2,0,0,0,2,0,"primed_promoter"
"GJB2","protein_coding","NC_058368.1",1250672,1284543,"-",1261189,1402902,141714,0,2,0,0,0,2,0,"no_active_mark"
"LOC123380387","lncRNA","NC_058368.1",1258245,1260212,"+",1256490,1261189,4700,1,1,1,0,1,2,0,"active_promoter"
